dataset	screen_source	accession	accession_or_doi	organism	modality	intervention	confirmatory_intervention	combined_design_flag	catalog_cells	catalog_conditions	processed_release_available	release_bytes	provider_checksum	provider_checksum_verified_on_full_release	license	publication_url	metadata_url	release_url	cell_eligible_pairs	eligible_targets	cd4_target_overlap	both_components_cd4_pairs	control_cells	guide_metadata	replicate_metadata	expressed_gene_overlap	selected_for_outcomes	decision	exclusion_reasons	full_eligibility_pass	pair_model_power_gate	no_outcome_data_accessed	metadata_complete_for_selection	selection_priority	screen_order
AdamsonWeissman2016_GSM2406675_10X001	scPerturb_metadata	GSE90546	GSE90546	Homo sapiens	RNA	CRISPRi	True	n	5768.0	8.0	True	34557246.0	md5:232f7e3756d41602bbe434b50662a76f	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2016.11.048	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406675_10X001.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	matching_double_target_design_not_established	False		True	False	1	11
AdamsonWeissman2016_GSM2406677_10X005	scPerturb_metadata	GSE90546	GSE90546	Homo sapiens	RNA	CRISPRi	True	y	15006.0	19.0	True	139059637.0	md5:8657391920e7f8b3e6fd52745777002a	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2016.11.048	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406677_10X005.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	exact_gene_pair_and_control_metadata_not_established;three_target_epistasis_design_below_target_and_pair_gates	False		True	False	1	12
AdamsonWeissman2016_GSM2406681_10X010	scPerturb_metadata	GSE90546	GSE90546	Homo sapiens	RNA	CRISPRi	True	y	65337.0	113.0	True	471286951.0	md5:2fa44ea61a8dd35742af618638ec65fc	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2016.11.048	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406681_10X010.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	exact_gene_pair_and_control_metadata_not_established;harmonized_labels_are_guide_constructs_not_matched_gene_pairs	False		True	False	1	13
PierceGreenleaf2021_GM12878	scPerturb_metadata	not_resolved	https://doi.org/10.1038/s41467-021-23213-w	Homo sapiens	ATAC	CRISPRi	True	n			False		not_available	False	not_established	https://doi.org/10.1038/s41467-021-23213-w	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=not_resolved						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	transcriptomic_readout_unavailable;matching_double_target_design_not_established;absent_from_RNA_release_13350497	False		True	False	1	14
PierceGreenleaf2021_K562	scPerturb_metadata	not_resolved	https://doi.org/10.1038/s41467-021-23213-w	Homo sapiens	ATAC	CRISPRi	True	n			False		not_available	False	not_established	https://doi.org/10.1038/s41467-021-23213-w	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=not_resolved						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	transcriptomic_readout_unavailable;matching_double_target_design_not_established;absent_from_RNA_release_13350497	False		True	False	1	15
PierceGreenleaf2021_MCF7	scPerturb_metadata	not_resolved	https://doi.org/10.1038/s41467-021-23213-w	Homo sapiens	ATAC	CRISPRi	True	n			False		not_available	False	not_established	https://doi.org/10.1038/s41467-021-23213-w	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=not_resolved						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	transcriptomic_readout_unavailable;matching_double_target_design_not_established;absent_from_RNA_release_13350497	False		True	False	1	16
ReplogleWeissman2022_K562_essential	scPerturb_metadata	not_resolved	https://doi.org/10.1016/j.cell.2022.05.013	Homo sapiens	RNA	CRISPRi	True	n	310385.0	2057.0	True	1546729675.0	md5:d8cba17576d1a8afc0f7d71b79cad0f7	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2022.05.013	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_K562_essential.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	matching_double_target_design_not_established;same_gene_dual_guides_are_not_double_target_perturbations	False		True	False	1	17
ReplogleWeissman2022_K562_gwps	scPerturb_metadata	not_resolved	https://doi.org/10.1016/j.cell.2022.05.013	Homo sapiens	RNA	CRISPRi	True	n	1989578.0	9866.0	True	8805466154.0	md5:13db594f8f1d2ccb88fec44a13e414dc	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2022.05.013	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_K562_gwps.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	matching_double_target_design_not_established;same_gene_dual_guides_are_not_double_target_perturbations	False		True	False	1	18
ReplogleWeissman2022_rpe1	scPerturb_metadata	not_resolved	https://doi.org/10.1016/j.cell.2022.05.013	Homo sapiens	RNA	CRISPRi	True	n	247914.0	2393.0	True	1236886900.0	md5:cc7f1ec50aeb3a3e1b4a6cfa713d80fa	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2022.05.013	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_rpe1.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	matching_double_target_design_not_established;same_gene_dual_guides_are_not_double_target_perturbations	False		True	False	1	19
SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen	scPerturb_metadata	not_resolved	https://doi.org/10.1038/s41592-020-0837-5	Homo sapiens; Mus musculus	RNA	CRISPRi	True	y	120310.0	3104.0	True	21815981.0	md5:f3276b2ee09bc132fa7f471090b9094e	False	CC-BY-4.0	https://doi.org/10.1038/s41592-020-0837-5	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	exact_gene_pair_and_control_metadata_not_established;targeted_readout_overlap_and_gene_only_pairs_unverified	False		True	False	1	20
SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen	scPerturb_metadata	not_resolved	https://doi.org/10.1038/s41592-020-0837-5	Homo sapiens; Mus musculus	RNA	CRISPRi	True	y	112260.0	4114.0	True	21015792.0	md5:916e6b511e164f840c7835291f2bbd51	False	CC-BY-4.0	https://doi.org/10.1038/s41592-020-0837-5	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	exact_gene_pair_and_control_metadata_not_established;targeted_readout_overlap_and_gene_only_pairs_unverified	False		True	False	1	21
TianKampmann2021_CRISPRi	scPerturb_metadata	not_resolved	https://doi.org/10.1038/s41593-021-00862-0	Homo sapiens	RNA	CRISPRi	True	n	32300.0	184.0	True	289389479.0	md5:70d260cf5587fc09d759b9f3e32785c6	False	CC-BY-4.0	https://doi.org/10.1038/s41593-021-00862-0	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/TianKampmann2021_CRISPRi.h5ad/content						not_established	batch_column_without_biological_unit_validation	not_examined_after_earlier_gate_failure	False	unavailable	matching_double_target_design_not_established	False		True	False	1	22
XuCao2023	scPerturb_metadata	not_resolved	https://doi.org/10.1038/s41587-023-01948-9	Homo sapiens	RNA	CRISPRi	True		98315.0	203.0	True	336637209.0	md5:3efb25a2927c5c228f04f783f18004d8	False	CC-BY-4.0	https://doi.org/10.1038/s41587-023-01948-9	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/XuCao2023.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	matching_double_target_design_not_established	False		True	False	1	23
NormanWeissman2019_filtered	scPerturb_metadata	GSE133344	GSE133344	Homo sapiens	RNA	CRISPRa	False	y	111445.0	236.0	True	698680199.0	md5:c870e6967d91c017d9da827bab183cd6	False	CC-BY-4.0	https://doi.org/10.1126/science.aax4438	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/NormanWeissman2019_filtered.h5ad/content	127.0	71.0	27.0	25.0	9702.0	assignment_metadata_retrieved	technical_lanes_only	not_examined_after_earlier_gate_failure	False	unavailable	nonconfirmatory_intervention	False	True	True	False	0	24
Pacalin2024_CRISPRa	original_repository	GSE220974	GSE220974	Homo sapiens	RNA	CRISPRa	False				True				public_GEO_no_explicit_reuse_license		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220974	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220974	7.0	6.0	2.0	1.0	3944.0	assignment_metadata_retrieved	two_batch_labels_independence_unverified	not_examined_after_earlier_gate_failure	False	unavailable	fewer_than_40_cell_eligible_pairs;fewer_than_15_eligible_targets;fewer_than_20_exact_CD4_targets;nonconfirmatory_intervention	False	False	True	False	0	25
WesselsSatija2023	scPerturb_metadata	GSE213957	GSE213957	Homo sapiens; Mus musculus	RNA	CRISPR-cas13	False	y	30707.0	186.0	True	219393529.0	md5:6897bfdcda928a678208fecf4eeb282e	False	CC-BY-4.0	https://doi.org/10.1038/s41592-022-01705-x	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/WesselsSatija2023.h5ad/content	0.0	0.0	0.0	0.0	424.0	assignment_metadata_retrieved	not_established	not_examined_after_earlier_gate_failure	False	unavailable	nonconfirmatory_intervention;fewer_than_40_cell_eligible_pairs;fewer_than_15_eligible_targets;fewer_than_20_exact_CD4_targets	False	False	True	False	0	26
JoungZhang2023_combinatorial	scPerturb_metadata	GSE217066	GSE217066	Homo sapiens	RNA	overexpression	False		167947.0	56.0	True	834073300.0	md5:e3d5f50d228b4d90652b6146e97c605c	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2022.11.026	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/JoungZhang2023_combinatorial.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	nonconfirmatory_intervention	False		True	False	0	27
JoungZhang2023_atlas	scPerturb_metadata	GSE217460	GSE217460	Homo sapiens	RNA	overexpression	False		1145823.0	3368.0	True	5804454475.0	md5:cb8b36e71d9a69a0d52ddfa51b4fa93e	False	CC-BY-4.0	https://doi.org/10.1016/j.cell.2022.11.026	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://zenodo.org/api/records/13350497/files/JoungZhang2023_atlas.h5ad/content						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	nonconfirmatory_intervention;matching_double_target_design_not_established	False		True	False	0	28
DixitRegev2016	scPerturb_metadata	GSE90063	GSE90063	Homo sapiens; Mus musculus	RNA	CRISPR-cas9	False	y	51898.0	1728.0	False		not_available	False	not_established	https://doi.org/10.1016/j.cell.2016.11.038	https://raw.githubusercontent.com/sanderlab/scPerturb/master/website/datavzrd/scperturb_dataset_info_datavzrd_annotated.csv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90063						not_established	not_established	not_examined_after_earlier_gate_failure	False	unavailable	nonconfirmatory_intervention;absent_from_RNA_release_13350497	False		True	False	0	29
DixitRegev2016_K562_TFs_13_days	Zenodo_release_only	GSE90063	GSE90063	human		CRISPR-cas9	False				True	121166672.0	md5:b594d224cf17b268cd7e02efc976cea7	False	CC-BY-4.0		https://zenodo.org/api/records/13350497	https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_13_days.h5ad/content									False	unavailable	nonconfirmatory_intervention	False		True	False	0	30
