locus,gene,trait,condition,transfer_class,transfer_residual,rank,downstream_gene,normalized_signed_effect
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,16,FUT7,-0.21380003
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,17,GZMB,-0.21050641
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,18,LGMN,-0.20834346
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,19,NRP1,-0.2079322
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,20,PALLD,-0.19719228
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,1,IL22,-0.44551447
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,2,CXCL8,-0.36605194
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,3,IL10,-0.29338583
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,4,GNLY,-0.24429801
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,5,IL26,-0.228755
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,6,EMP1,-0.21078075
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,7,LGMN,-0.20782258
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,8,LRRC32,0.20662513
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,9,ZBTB16,0.18699767
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,10,SLC8A1,-0.18191949
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,11,TNIP3,-0.17954414
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,12,CLU,-0.16952643
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,13,TRGC1,0.16651861
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,14,FLT1,-0.1624646
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,15,GNAI1,-0.16241853
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,16,IL5,-0.1595285
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,17,ENPP2,-0.1537059
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,18,COL6A3,-0.15272275
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,19,STRIP2,-0.14523178
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,20,SHISA2,-0.13907126
ptpn22,PTPN22,rheumatoid arthritis,Stim48hr,intermediate,-0.9469425822227352,1,AP4B1,-0.014674318
