source_table	record_type	target_gene	n_cells	reason	status	estimand	dataset	specification_id	minimum_cells	minimum_guides	on_target_rule	transfer_definition	model_family	covariate_set	cross_validation_seed	module_resolution	tail_cutoff	result_family	analysis	locus	eligible_strata	branch	denominator	subset	scope	metric	estimate	pairs	snps	mediators	trans_genes	source_chromosomes	bootstrap_ci_low	bootstrap_ci_high	bootstrap_finite_replicates	null_median	null_denominator_min	null_denominator_median	null_denominator_max	null_finite_replicates	permutation_p_upper	bh_family_slots	bh_available_slots	permutation_q_fixed_16	available	unavailable_reason	hypothesis	question	eligible_datasets	outcome_pairs_analyzed	effect_size	ci_low	ci_high	p_value	q_value	decision	hypothesis_id	complete_denominator	test_status	screened_candidates	metadata_advances	outcome_opened_confirmations	eligible_branch_datasets	required_branch_datasets	blocked_object_bytes	source_paths	rows	expected_direction	negative_control	standard_error	clusters	bootstrap_method	bootstrap_replicates	effect_measure	secondary_delta_auroc	direction_expected	supported
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V0D1	99.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1A	79.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1B2	163.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1C1	46.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1D	65.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1E1	58.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1F	41.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1G1	135.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATP6V1H	79.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATR	161.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATRIP	74.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	ATXN10	59.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	AURKA	35.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BAG6	71.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BANF1	33.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BANP	32.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BAP1	114.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BCAR1	922.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BCAS2	38.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BCS1L	106.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BDP1	47.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BET1	68.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BGLAP	59.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BMS1	53.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BNIP1	59.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BOD1L1	97.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BOP1	166.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BORA	73.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BPTF	101.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRCA2	83.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRF1	61.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRF2	94.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRIP1	110.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BRIX1	42.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BTF3	110.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BTF3L4	277.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BUB1	75.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BUB1B	106.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BUD13	36.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	BUD31	45.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C12orf60	42.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C14orf178	292.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C16orf86	181.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C17orf58	189.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C19orf25	53.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C1QTNF4	75.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C1orf109	214.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C5orf30	45.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C6orf15	105.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C7orf26	380.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C9orf16	160.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	C9orf78	97.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CA5A	115.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CACTIN	90.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CAD	96.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CADM4	247.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CALR	74.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CAMLG	161.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CAPZB	88.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CARS	54.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CBFA2T3	111.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CBLN1	80.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCAR1	119.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCDC115	53.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCDC130	114.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCDC137	41.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCDC144A	140.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCDC144NL	250.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCDC59	48.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCDC78	492.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCDC84	44.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCND1	62.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCND3	83.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCNH	71.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCP110	50.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCT2	56.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCT3	58.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCT4	65.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCT6A	79.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCT7	61.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CCT8	48.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CD3EAP	38.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CD8B	190.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CDAN1	41.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CDC123	35.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CDC16	106.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CDC27	38.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CDC42	38.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CDC5L	71.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
analyses/external_benchmark/rpe1_prepared/excluded_targets.csv	target_exclusion	CDC6	88.0	not_measured_in_frozen_cd4_target_set	excluded																																																																								
