source_table	result_family	specifications	expected_direction_fraction	q_supported_fraction	median_estimate	minimum_estimate	maximum_estimate	robustness_label	specification_id	minimum_cells	minimum_guides	on_target_rule	transfer_definition	model_family	covariate_set	cross_validation_seed	module_resolution	reason	tail_cutoff
scalar_unavailable									1229	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	huber_regression	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1233	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	huber_regression	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1237	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	huber_regression	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1241	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	sparse_nonlinear	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1245	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	sparse_nonlinear	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1249	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	sparse_nonlinear	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1253	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	sparse_nonlinear	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1257	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	sparse_nonlinear	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1261	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	graph_readout	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1265	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	graph_readout	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1269	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	graph_readout	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1273	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	graph_readout	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1277	100.0	3.0	significant_and_absolute_z_at_least_2	distal_gene_count_residual	graph_readout	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1281	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	ridge	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1285	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	ridge	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1289	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	ridge	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1293	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	ridge	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1297	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	ridge	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1301	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	huber_regression	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1305	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	huber_regression	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1309	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	huber_regression	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1313	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	huber_regression	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1317	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	huber_regression	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1321	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	sparse_nonlinear	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1325	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	sparse_nonlinear	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1329	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	sparse_nonlinear	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1333	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	sparse_nonlinear	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1337	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	sparse_nonlinear	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1341	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	graph_readout	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1345	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	graph_readout	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1349	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	graph_readout	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1353	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	graph_readout	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1357	100.0	3.0	significant_and_absolute_z_at_least_2	debiased_response_l2_gain	graph_readout	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1361	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	ridge	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1365	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	ridge	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1369	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	ridge	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1373	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	ridge	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1377	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	ridge	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1381	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	huber_regression	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1385	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	huber_regression	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1389	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	huber_regression	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1393	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	huber_regression	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1397	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	huber_regression	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1401	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	sparse_nonlinear	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1405	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	sparse_nonlinear	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1409	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	sparse_nonlinear	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1413	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	sparse_nonlinear	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1417	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	sparse_nonlinear	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									1421	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	graph_readout	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									1425	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	graph_readout	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									1429	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	graph_readout	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									1433	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	graph_readout	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									1437	100.0	3.0	significant_and_absolute_z_at_least_2	significant_response_l1_gain	graph_readout	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									2401	200.0	3.0	significant	distal_gene_count_residual	ridge	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									2405	200.0	3.0	significant	distal_gene_count_residual	ridge	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									2409	200.0	3.0	significant	distal_gene_count_residual	ridge	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									2413	200.0	3.0	significant	distal_gene_count_residual	ridge	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									2417	200.0	3.0	significant	distal_gene_count_residual	ridge	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									2421	200.0	3.0	significant	distal_gene_count_residual	huber_regression	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									2425	200.0	3.0	significant	distal_gene_count_residual	huber_regression	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									2429	200.0	3.0	significant	distal_gene_count_residual	huber_regression	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									2433	200.0	3.0	significant	distal_gene_count_residual	huber_regression	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									2437	200.0	3.0	significant	distal_gene_count_residual	huber_regression	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									2441	200.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									2445	200.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									2449	200.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									2453	200.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									2457	200.0	3.0	significant	distal_gene_count_residual	sparse_nonlinear	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									2461	200.0	3.0	significant	distal_gene_count_residual	graph_readout	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									2465	200.0	3.0	significant	distal_gene_count_residual	graph_readout	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									2469	200.0	3.0	significant	distal_gene_count_residual	graph_readout	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									2473	200.0	3.0	significant	distal_gene_count_residual	graph_readout	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									2477	200.0	3.0	significant	distal_gene_count_residual	graph_readout	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									2481	200.0	3.0	significant	debiased_response_l2_gain	ridge	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									2485	200.0	3.0	significant	debiased_response_l2_gain	ridge	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									2489	200.0	3.0	significant	debiased_response_l2_gain	ridge	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									2493	200.0	3.0	significant	debiased_response_l2_gain	ridge	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									2497	200.0	3.0	significant	debiased_response_l2_gain	ridge	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									2501	200.0	3.0	significant	debiased_response_l2_gain	huber_regression	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									2505	200.0	3.0	significant	debiased_response_l2_gain	huber_regression	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									2509	200.0	3.0	significant	debiased_response_l2_gain	huber_regression	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									2513	200.0	3.0	significant	debiased_response_l2_gain	huber_regression	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									2517	200.0	3.0	significant	debiased_response_l2_gain	huber_regression	no_state	20260929.0		insufficient_rows_or_targets	
scalar_unavailable									2521	200.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	minimal	20260912.0		insufficient_rows_or_targets	
scalar_unavailable									2525	200.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	minimal	20261119.0		insufficient_rows_or_targets	
scalar_unavailable									2529	200.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	observability	20261031.0		insufficient_rows_or_targets	
scalar_unavailable									2533	200.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	reproducibility	20261013.0		insufficient_rows_or_targets	
scalar_unavailable									2537	200.0	3.0	significant	debiased_response_l2_gain	sparse_nonlinear	no_state	20260929.0		insufficient_rows_or_targets	
