replicate,r2,status
498,-0.08909519345332595,ok
499,-0.1401189547656312,ok
500,-0.04867422135625965,ok
501,-0.15271127055570433,ok
502,-0.10302159115690168,ok
503,-0.11012266532508685,ok
504,-0.12445899046259701,ok
505,-0.13040188988336254,ok
506,-0.15030191347321997,ok
507,-0.10529857581209856,ok
508,-0.09917533412313673,ok
509,-0.05537986652460858,ok
510,-0.09076698352918244,ok
511,-0.12144269796754847,ok
512,-0.09819308357855672,ok
513,-0.10315421489522736,ok
514,-0.06920031629328793,ok
515,-0.0629198196219991,ok
516,-0.1067911189699251,ok
517,-0.04259344402184495,ok
518,-0.11150901046025807,ok
519,-0.06269670754295342,ok
520,-0.1021110931693503,ok
521,-0.15521426793238646,ok
522,-0.06497885381265389,ok
523,-0.11346193133139648,ok
524,-0.05228617659119661,ok
525,-0.0964214188611785,ok
526,-0.07445781367957793,ok
527,-0.07977910639781993,ok
528,-0.09027692100168894,ok
529,-0.09788108970187603,ok
530,-0.11791645895748037,ok
531,-0.09406410177558833,ok
532,-0.10060726153514965,ok
533,-0.12837961115382535,ok
534,-0.09079028886411455,ok
535,-0.10428780573031093,ok
536,-0.10086341048244352,ok
537,-0.08461050570427542,ok
538,-0.09026653363359238,ok
539,-0.0763670331107984,ok
540,-0.11992174465023675,ok
541,-0.09248231554325392,ok
542,-0.08361107267229806,ok
543,-0.08447651340290152,ok
544,-0.09180483735890821,ok
545,-0.06579347086415543,ok
546,-0.0714578317776231,ok
547,-0.11196443843915738,ok
548,-0.09216557205867493,ok
549,-0.1251737980246772,ok
550,-0.0748653658387155,ok
551,-0.09047594197831121,ok
552,-0.15421301660422415,ok
553,-0.1452416501178675,ok
554,-0.08851808125945815,ok
555,-0.17144833629533696,ok
556,-0.11187759881008463,ok
557,-0.1191457563511169,ok
558,-0.06599771725664683,ok
559,-0.08602425853564366,ok
560,-0.09212688151184878,ok
561,-0.12488562485163301,ok
562,-0.08652247946234182,ok
563,-0.13263264849947642,ok
564,-0.10002058802603497,ok
565,-0.06639519538572114,ok
566,-0.09305074044560535,ok
567,-0.1258225238195365,ok
568,-0.10595279713995165,ok
569,-0.08822101078538869,ok
570,-0.1089155619448825,ok
571,-0.1405118713277811,ok
572,-0.10868579672646494,ok
573,-0.09483292898619955,ok
574,-0.10349309832967135,ok
575,-0.12082100859208245,ok
576,-0.09542753910047552,ok
577,-0.11093409816012656,ok
578,-0.11959698339017999,ok
