replicate,delta_r2,observed_delta
65,0.0008173650725116222,0.0352320913883896
66,0.02748725494950488,0.0352320913883896
67,0.08221780681579005,0.0352320913883896
68,0.038502684163086554,0.0352320913883896
69,0.03459989491632276,0.0352320913883896
70,-0.0060623102328040135,0.0352320913883896
71,-0.002144182247260762,0.0352320913883896
72,0.025221558412546252,0.0352320913883896
73,0.110554682886841,0.0352320913883896
74,-0.0040207688871573,0.0352320913883896
75,0.09337434753085949,0.0352320913883896
76,-0.02657768911558378,0.0352320913883896
77,0.044571823733206006,0.0352320913883896
78,0.08679341491485881,0.0352320913883896
79,0.07631307875314453,0.0352320913883896
80,0.128505537184041,0.0352320913883896
81,0.020781700636399725,0.0352320913883896
82,-0.021805906826456445,0.0352320913883896
83,0.07678899017762919,0.0352320913883896
84,0.12929746030113753,0.0352320913883896
85,0.04656129350593663,0.0352320913883896
86,0.16101553739912977,0.0352320913883896
87,0.08185581867338143,0.0352320913883896
88,0.038945343703251645,0.0352320913883896
89,0.041846978741876706,0.0352320913883896
90,0.06060448460040213,0.0352320913883896
91,0.08394673670861841,0.0352320913883896
92,0.07742055526422198,0.0352320913883896
93,0.03337238767254036,0.0352320913883896
94,0.05435822317853034,0.0352320913883896
95,0.08775708776237146,0.0352320913883896
96,0.057597448765127734,0.0352320913883896
97,0.10220964876961702,0.0352320913883896
98,0.09104815592684967,0.0352320913883896
99,0.06227660321987627,0.0352320913883896
100,0.06899663933907685,0.0352320913883896
101,0.008616131722576803,0.0352320913883896
102,0.1069847911623123,0.0352320913883896
103,0.08430587165030479,0.0352320913883896
104,0.09530418001840768,0.0352320913883896
105,0.08485318561093069,0.0352320913883896
106,0.0031154766410718127,0.0352320913883896
107,-0.020908454051427938,0.0352320913883896
108,0.11725675793465262,0.0352320913883896
109,-0.003939199384179526,0.0352320913883896
110,0.07174600156265454,0.0352320913883896
111,0.0865250839717514,0.0352320913883896
112,0.104998202757563,0.0352320913883896
113,0.03066817896791607,0.0352320913883896
114,0.004652441248011341,0.0352320913883896
115,0.09210324273975823,0.0352320913883896
116,0.05457563005242538,0.0352320913883896
117,0.09762677775574424,0.0352320913883896
118,0.009915779061788199,0.0352320913883896
119,0.06504897831704248,0.0352320913883896
120,0.09530650144022002,0.0352320913883896
121,0.06381908383789581,0.0352320913883896
122,0.12288210671068822,0.0352320913883896
123,0.0819508454281882,0.0352320913883896
124,0.09751619185705285,0.0352320913883896
125,0.06335974933535593,0.0352320913883896
126,0.10607812747414147,0.0352320913883896
127,0.07610714770037097,0.0352320913883896
128,0.08139592202870805,0.0352320913883896
129,-0.03454156037813294,0.0352320913883896
130,0.1166118723253653,0.0352320913883896
131,0.03845983321889468,0.0352320913883896
132,0.08317709618311953,0.0352320913883896
133,0.1363543627954239,0.0352320913883896
134,0.06559266318470935,0.0352320913883896
135,0.0666304516889521,0.0352320913883896
136,0.13173992323605987,0.0352320913883896
137,0.028095859187069805,0.0352320913883896
138,0.0810866853855744,0.0352320913883896
139,0.09965863126937158,0.0352320913883896
140,0.06276675074209281,0.0352320913883896
141,0.09863974726788216,0.0352320913883896
142,0.09486232458710686,0.0352320913883896
143,0.051950912159154594,0.0352320913883896
144,0.013637079673475272,0.0352320913883896
145,0.051697648585480094,0.0352320913883896
146,0.10872885736206239,0.0352320913883896
147,0.05016782359852856,0.0352320913883896
148,-0.24091275727054162,0.0352320913883896
149,0.11222584084103959,0.0352320913883896
150,0.08103205475918795,0.0352320913883896
151,0.14367316439696698,0.0352320913883896
152,0.049465916578907865,0.0352320913883896
153,0.08482726714982258,0.0352320913883896
154,0.020189460788479052,0.0352320913883896
155,0.10891182769338437,0.0352320913883896
156,0.06928149687994001,0.0352320913883896
157,0.1360040317569915,0.0352320913883896
158,0.018247028275811594,0.0352320913883896
159,0.06080934078240752,0.0352320913883896
160,0.07594959850539473,0.0352320913883896
161,0.013927658650190411,0.0352320913883896
162,0.044472169296382535,0.0352320913883896
163,0.12584273144380131,0.0352320913883896
164,0.03401473932310384,0.0352320913883896
165,0.047783226198816475,0.0352320913883896
166,0.07418346644876006,0.0352320913883896
167,0.11204795676172341,0.0352320913883896
168,-0.022190719426765537,0.0352320913883896
169,0.14755827949598566,0.0352320913883896
170,0.06585434824791869,0.0352320913883896
171,0.08446485808804471,0.0352320913883896
172,0.03023204122576373,0.0352320913883896
173,0.0628976252735155,0.0352320913883896
174,0.06561571997163529,0.0352320913883896
175,0.05756527073286477,0.0352320913883896
176,0.036356446065041514,0.0352320913883896
177,0.10198391022807607,0.0352320913883896
178,0.07290168901168759,0.0352320913883896
179,-0.011726551137296592,0.0352320913883896
180,0.051104606839872835,0.0352320913883896
181,0.09731446465170335,0.0352320913883896
182,0.06388117851772435,0.0352320913883896
183,0.07995532032106645,0.0352320913883896
184,0.022792787436453854,0.0352320913883896
185,0.016532885966136335,0.0352320913883896
186,0.09997478095654,0.0352320913883896
187,0.03801237195190421,0.0352320913883896
188,-0.03684801192637699,0.0352320913883896
189,0.016306496349759447,0.0352320913883896
190,0.11241880834907225,0.0352320913883896
191,0.14527142827198058,0.0352320913883896
192,0.07730036203079926,0.0352320913883896
193,0.0698748131907323,0.0352320913883896
194,0.13597270442947706,0.0352320913883896
195,0.05413567071858327,0.0352320913883896
196,0.1005515129678709,0.0352320913883896
197,0.10859218919271729,0.0352320913883896
198,0.07075919548473875,0.0352320913883896
199,0.07692971606896548,0.0352320913883896
200,0.10782803712216515,0.0352320913883896
201,0.11461929196042586,0.0352320913883896
202,0.060104381161909304,0.0352320913883896
203,0.08942649726574681,0.0352320913883896
204,0.09714381435463737,0.0352320913883896
205,0.04807390317177007,0.0352320913883896
206,0.10562984110837159,0.0352320913883896
207,0.06942561594026986,0.0352320913883896
208,0.051278198736942615,0.0352320913883896
209,0.058154580216318696,0.0352320913883896
210,0.07253240190563426,0.0352320913883896
211,0.08769317337689964,0.0352320913883896
212,0.09042137071778245,0.0352320913883896
213,0.0686412708918629,0.0352320913883896
214,0.07756309104911319,0.0352320913883896
215,0.07518418617521772,0.0352320913883896
216,0.10049051308790169,0.0352320913883896
217,0.09039078098286346,0.0352320913883896
218,0.03830151338500598,0.0352320913883896
219,0.09207857069820136,0.0352320913883896
220,0.07912722304248287,0.0352320913883896
221,0.06189495295432035,0.0352320913883896
222,0.1026167520564395,0.0352320913883896
223,0.1090972253123903,0.0352320913883896
224,0.05214191125291212,0.0352320913883896
225,0.03111796450970994,0.0352320913883896
226,0.08924089540699054,0.0352320913883896
227,0.09106275803752628,0.0352320913883896
228,0.08111812122556583,0.0352320913883896
229,0.0258845290703692,0.0352320913883896
230,0.09207069362073361,0.0352320913883896
231,0.11927291737347911,0.0352320913883896
232,0.12361281683874537,0.0352320913883896
233,0.04341243447522458,0.0352320913883896
234,0.09266518979529881,0.0352320913883896
235,0.07908233697302314,0.0352320913883896
236,0.05636161422454811,0.0352320913883896
237,0.09165411017232405,0.0352320913883896
238,0.11249627857096345,0.0352320913883896
239,0.07416031323068939,0.0352320913883896
240,0.08876472003260949,0.0352320913883896
241,0.07416160904289948,0.0352320913883896
242,0.1242343482384275,0.0352320913883896
243,0.029704193386906996,0.0352320913883896
244,0.0449751794896005,0.0352320913883896
245,0.08272787489136779,0.0352320913883896
246,0.14516253697446224,0.0352320913883896
247,0.08557349033066408,0.0352320913883896
248,0.06115475548055804,0.0352320913883896
249,0.10827100100193598,0.0352320913883896
250,0.04516001691301008,0.0352320913883896
251,0.059089709321873074,0.0352320913883896
252,0.09259131291438605,0.0352320913883896
253,0.08631932507563078,0.0352320913883896
254,0.0493948033254038,0.0352320913883896
255,0.044623040306692174,0.0352320913883896
256,0.06743217247383126,0.0352320913883896
257,0.09922575174324333,0.0352320913883896
258,-0.021641387403645962,0.0352320913883896
259,0.048666345798387356,0.0352320913883896
260,0.05822694474196277,0.0352320913883896
261,0.0906280445769565,0.0352320913883896
