overall,overall_rho,Rest,Stim8hr,Stim48hr,Rest_rho,Stim8hr_rho,Stim48hr_rho,observed_agreement,observed_rho
0.45454545454545453,-0.309042290795036,0.4166666666666667,0.6,0.36363636363636365,-0.20979020979020982,-0.4545454545454545,0.02727272727272728,0.5669642857142857,0.15768917911426772
0.4807692307692308,-0.20991291060121636,0.46153846153846156,0.48,0.5,-0.4725274725274725,-0.1392307692307692,-0.2835164835164835,0.5669642857142857,0.15768917911426772
0.5581395348837209,0.2096877715089786,0.625,0.6,0.4166666666666667,0.6147058823529412,0.1464285714285714,-0.02097902097902098,0.5669642857142857,0.15768917911426772
0.4166666666666667,0.07490347490347489,0.3333333333333333,0.5,0.46153846153846156,0.16785714285714282,-0.1666666666666667,-0.19780219780219782,0.5669642857142857,0.15768917911426772
0.475,-0.061825687212684124,0.6,0.4,0.4,0.0,-0.1357142857142857,0.03647433262080388,0.5669642857142857,0.15768917911426772
0.425,-0.0735059574068862,0.5,0.25,0.5833333333333334,-0.1188811188811189,-0.27520242917720916,0.15384615384615385,0.5669642857142857,0.15768917911426772
0.46808510638297873,-0.1981440259854904,0.6923076923076923,0.5,0.3,0.25274725274725274,-0.21318681318681318,-0.6060150375939849,0.5669642857142857,0.15768917911426772
0.3870967741935484,-0.0016130658414469118,0.45454545454545453,0.14285714285714285,0.46153846153846156,0.16363636363636366,-0.07142857142857144,0.18131868131868134,0.5669642857142857,0.15768917911426772
0.5365853658536586,0.027441414861511262,0.3333333333333333,0.7,0.5789473684210527,0.027972027972027972,0.2121212121212121,-0.15263157894736842,0.5669642857142857,0.15768917911426772
0.5526315789473685,-0.12715434718381213,0.8,0.5384615384615384,0.4,0.35757575757575755,-0.19230769230769232,-0.3142857142857143,0.5669642857142857,0.15768917911426772
0.5897435897435898,0.010831604113331277,0.7,0.5,0.6,0.41818181818181815,-0.1252747252747253,-0.1857142857142857,0.5669642857142857,0.15768917911426772
0.55,-0.000844317276598433,0.5,0.625,0.5,-0.0303030303030303,0.0411764705882353,-0.3098901098901099,0.5669642857142857,0.15768917911426772
0.5161290322580645,-0.041935483870967745,0.6153846153846154,0.4444444444444444,0.4444444444444444,0.22527472527472525,-0.33333333333333337,0.03333333333333333,0.5669642857142857,0.15768917911426772
0.42424242424242425,-0.21492437611597537,0.7272727272727273,0.3333333333333333,0.2,0.2545454545454546,-0.3076923076923077,-0.32121212121212117,0.5669642857142857,0.15768917911426772
0.375,-0.0478446456739112,0.2857142857142857,0.23076923076923078,0.6153846153846154,-0.23076923076923075,-0.4945054945054945,0.32417582417582413,0.5669642857142857,0.15768917911426772
0.5625,0.2725689682421922,0.8181818181818182,0.4,0.45454545454545453,0.7636363636363637,-0.006060606060606061,0.10909090909090911,0.5669642857142857,0.15768917911426772
0.4358974358974359,-0.2844417465731635,0.375,0.6666666666666666,0.2727272727272727,-0.2911764705882353,-0.006993006993006993,-0.7363636363636363,0.5669642857142857,0.15768917911426772
0.44,-0.3353846153846154,0.14285714285714285,0.5,0.625,-0.7857142857142859,-0.01818181818181818,-0.1666666666666667,0.5669642857142857,0.15768917911426772
0.4117647058823529,-0.14346829640947287,0.2857142857142857,0.375,0.5833333333333334,-0.35824175824175825,0.0,0.2447552447552448,0.5669642857142857,0.15768917911426772
0.425,-0.2547023784405273,0.5,0.4666666666666667,0.3333333333333333,-0.34545454545454546,-0.28928571428571426,-0.30357142857142855,0.5669642857142857,0.15768917911426772
0.6176470588235294,0.23361344537815126,0.5555555555555556,0.6,0.6666666666666666,0.6833333333333333,-0.24848484848484845,0.39642857142857135,0.5669642857142857,0.15768917911426772
0.5142857142857142,-0.18767507002801123,0.5714285714285714,0.5454545454545454,0.4,0.15604395604395604,-0.13636363636363638,-0.5878787878787878,0.5669642857142857,0.15768917911426772
0.44680851063829785,-0.04509973988458153,0.45454545454545453,0.47368421052631576,0.4117647058823529,-0.3090909090909091,0.14210526315789473,-0.10539215686274511,0.5669642857142857,0.15768917911426772
0.5,0.03957219251336898,0.7777777777777778,0.2727272727272727,0.5,0.5,-0.38181818181818183,0.14285714285714285,0.5669642857142857,0.15768917911426772
0.3939393939393939,-0.18282085561497327,0.7777777777777778,0.09090909090909091,0.38461538461538464,0.2833333333333333,-0.5909090909090909,-0.39010989010989006,0.5669642857142857,0.15768917911426772
0.42105263157894735,0.08655213918371812,0.2777777777777778,0.5294117647058824,0.6666666666666666,-0.18885448916408668,0.16666666666666669,0.5,0.5669642857142857,0.15768917911426772
