series,bin_left,bin_right,density
Observed,3.833333333333332,4.0,0.0037957866767887377
Observed,4.0,4.166666666666666,0.0026570506737521446
Observed,4.166666666666666,4.333333333333332,0.0011387360030366334
Observed,4.333333333333332,4.5,0.00037957866767887377
Observed,4.5,4.666666666666666,0.0
Observed,4.666666666666666,4.833333333333332,0.0
Observed,4.833333333333332,5.0,0.0
Observed,5.0,5.166666666666666,0.0
Observed,5.166666666666666,5.333333333333332,0.0
Observed,5.333333333333332,5.5,0.0
Observed,5.5,5.666666666666666,0.0
Observed,5.666666666666666,5.833333333333332,0.0
Observed,5.833333333333332,6.0,0.0
Observed,6.0,6.166666666666666,0.0
Observed,6.166666666666666,6.333333333333332,0.0
Observed,6.333333333333332,6.5,0.0
Observed,6.5,6.666666666666666,0.0
Observed,6.666666666666666,6.833333333333332,0.0
Observed,6.833333333333332,7.0,0.0
Observed,7.0,7.166666666666666,0.0
Observed,7.166666666666666,7.333333333333332,0.0
Observed,7.333333333333332,7.5,0.0
Observed,7.5,7.666666666666666,0.0
Observed,7.666666666666666,7.833333333333332,0.0
Observed,7.833333333333332,8.0,0.0
Matched null,-5.0,-4.833333333333333,0.0
Matched null,-4.833333333333333,-4.666666666666667,0.0
Matched null,-4.666666666666667,-4.5,0.0
Matched null,-4.5,-4.333333333333333,0.0
Matched null,-4.333333333333333,-4.166666666666667,0.0
Matched null,-4.166666666666667,-4.0,0.0
Matched null,-4.0,-3.8333333333333335,0.0
Matched null,-3.8333333333333335,-3.666666666666667,0.0
Matched null,-3.666666666666667,-3.5,0.0
Matched null,-3.5,-3.3333333333333335,0.0
Matched null,-3.3333333333333335,-3.166666666666667,0.0
Matched null,-3.166666666666667,-3.0,0.0
Matched null,-3.0,-2.8333333333333335,0.0007071550578857474
Matched null,-2.8333333333333335,-2.666666666666667,0.00212564053900171
Matched null,-2.666666666666667,-2.5,0.007248813816663491
Matched null,-2.5,-2.3333333333333335,0.00473448472195863
Matched null,-2.3333333333333335,-2.166666666666667,0.0052609603340292325
Matched null,-2.166666666666667,-2.0,0.008837730119567264
Matched null,-2.0,-1.8333333333333335,0.011904725754412612
Matched null,-1.8333333333333335,-1.666666666666667,0.017357752894287357
Matched null,-1.666666666666667,-1.5,0.02705560827481491
Matched null,-1.5,-1.3333333333333335,0.055859555892958865
Matched null,-1.3333333333333335,-1.166666666666667,0.11870297969254139
Matched null,-1.166666666666667,-1.0,0.21309774150692692
Matched null,-1.0,-0.8333333333333339,0.48027519453406886
Matched null,-0.8333333333333339,-0.666666666666667,0.6584942114253167
Matched null,-0.666666666666667,-0.5,0.660057695957486
Matched null,-0.5,-0.3333333333333339,0.45559840576959737
Matched null,-0.3333333333333339,-0.16666666666666696,0.6655900550389057
Matched null,-0.16666666666666696,0.0,0.42762269880432646
Matched null,0.0,0.16666666666666607,0.38980299867147605
Matched null,0.16666666666666607,0.33333333333333304,0.2796568608844178
Matched null,0.33333333333333304,0.5,0.21350161320933725
Matched null,0.5,0.6666666666666661,0.1626589485670911
Matched null,0.6666666666666661,0.833333333333333,0.12356690074017819
Matched null,0.833333333333333,1.0,0.11593812867716814
Matched null,1.0,1.166666666666666,0.095750996394003
Matched null,1.166666666666666,1.333333333333333,0.08627557411273472
