excluded_source_chromosome,subset,scope,metric,estimate,full_estimate,difference_from_full,denominator,source_chromosomes_retained,null_finite_replicates,null_denominator_median,permutation_p_upper,strata_frozen,permutation_mappings_frozen
6,bonferroni,Stim48hr,score_spearman,-0.005900346832580529,0.01726221720740294,-0.023162564039983468,43,7,982,21.0,0.676500508646999,True,True
7,primary,overall,direction_agreement,0.6345514950166113,0.5858823529411765,0.048669142075434824,301,18,1000,169.0,0.08291708291708291,True,True
7,primary,overall,score_spearman,0.2714659982212734,0.20242085916217342,0.06904513905909995,301,18,1000,169.0,0.11188811188811189,True,True
7,primary,Rest,direction_agreement,0.8333333333333334,0.7423312883435583,0.09100204498977504,114,16,1000,39.0,0.027972027972027972,True,True
7,primary,Rest,score_spearman,0.5122399718263,0.4642587211814317,0.0479812506448683,114,16,1000,39.0,0.07592407592407592,True,True
7,primary,Stim8hr,direction_agreement,0.5338983050847458,0.5147058823529411,0.01919242273180466,118,14,1000,51.0,0.3546453546453546,True,True
7,primary,Stim8hr,score_spearman,0.060529763481413035,0.019920285026256597,0.04060947845515644,118,14,1000,51.0,0.5054945054945055,True,True
7,primary,Stim48hr,direction_agreement,0.4782608695652174,0.4603174603174603,0.017943409247757114,69,14,1000,69.0,0.6953046953046953,True,True
7,primary,Stim48hr,score_spearman,0.1216409325463307,-0.004536081466409906,0.1261770140127406,69,14,1000,69.0,0.4515484515484515,True,True
7,bonferroni,overall,direction_agreement,0.5436893203883495,0.5324675324675324,0.011221787920817072,103,12,1000,40.0,0.4675324675324675,True,True
7,bonferroni,overall,score_spearman,0.35115773930888944,0.18517063497338632,0.16598710433550312,103,12,1000,40.0,0.23476523476523475,True,True
7,bonferroni,Rest,direction_agreement,0.8717948717948718,0.7719298245614035,0.09986504723346834,39,10,1000,10.0,0.14085914085914086,True,True
7,bonferroni,Rest,score_spearman,0.5169847942705172,0.4709638834504549,0.04602091082006232,39,10,941,11.0,0.20063694267515925,True,True
7,bonferroni,Stim8hr,direction_agreement,0.3783783783783784,0.3541666666666667,0.024211711711711714,37,9,1000,11.0,0.7642357642357642,True,True
7,bonferroni,Stim8hr,score_spearman,0.119082718835577,0.004113076543803678,0.11496964229177332,37,9,946,12.0,0.5860612460401268,True,True
7,bonferroni,Stim48hr,direction_agreement,0.2962962962962963,0.42857142857142855,-0.13227513227513227,27,7,1000,16.0,0.9090909090909091,True,True
7,bonferroni,Stim48hr,score_spearman,0.1181951932859181,0.01726221720740294,0.10093297607851516,27,7,976,16.5,0.593654042988741,True,True
8,primary,overall,direction_agreement,0.5819477434679335,0.5858823529411765,-0.003934609473242978,421,18,1000,214.0,0.15584415584415584,True,True
8,primary,overall,score_spearman,0.19322779310540797,0.20242085916217342,-0.009193066056765453,421,18,1000,214.0,0.15284715284715283,True,True
8,primary,Rest,direction_agreement,0.7407407407407407,0.7423312883435583,-0.0015905476028176269,162,16,1000,49.0,0.07092907092907093,True,True
8,primary,Rest,score_spearman,0.46117856310662353,0.4642587211814317,-0.003080158074808159,162,16,1000,49.0,0.07792207792207792,True,True
8,primary,Stim8hr,direction_agreement,0.5074626865671642,0.5147058823529411,-0.007243195785776924,134,14,1000,65.0,0.3876123876123876,True,True
8,primary,Stim8hr,score_spearman,0.0053994777287022675,0.019920285026256597,-0.014520807297554329,134,14,1000,65.0,0.5524475524475524,True,True
8,primary,Stim48hr,direction_agreement,0.456,0.4603174603174603,-0.0043174603174602755,125,14,1000,86.0,0.7842157842157842,True,True
8,primary,Stim48hr,score_spearman,-0.01613617904065825,-0.004536081466409906,-0.011600097574248345,125,14,1000,86.0,0.7112887112887113,True,True
8,bonferroni,overall,direction_agreement,0.5231788079470199,0.5324675324675324,-0.009288724520512548,151,12,1000,56.0,0.4875124875124875,True,True
8,bonferroni,overall,score_spearman,0.1827434994873535,0.18517063497338632,-0.002427135486032822,151,12,1000,56.0,0.37362637362637363,True,True
8,bonferroni,Rest,direction_agreement,0.7678571428571429,0.7719298245614035,-0.004072681704260561,56,10,1000,14.0,0.14785214785214784,True,True
8,bonferroni,Rest,score_spearman,0.47614816496636797,0.4709638834504549,0.005184281515913047,56,10,976,14.0,0.15660184237461616,True,True
8,bonferroni,Stim8hr,direction_agreement,0.3404255319148936,0.3541666666666667,-0.013741134751773076,47,9,1000,18.0,0.8051948051948052,True,True
8,bonferroni,Stim8hr,score_spearman,-0.008593244153033914,0.004113076543803678,-0.012706320696837591,47,9,987,19.0,0.6396761133603239,True,True
8,bonferroni,Stim48hr,direction_agreement,0.4166666666666667,0.42857142857142855,-0.011904761904761862,48,7,1000,21.0,0.7952047952047953,True,True
8,bonferroni,Stim48hr,score_spearman,0.01332932268695594,0.01726221720740294,-0.003932894520446999,48,7,987,21.0,0.6578947368421053,True,True
9,primary,overall,direction_agreement,0.5857142857142857,0.5858823529411765,-0.0001680672268907779,420,18,1000,212.5,0.14085914085914086,True,True
9,primary,overall,score_spearman,0.2011021156048343,0.20242085916217342,-0.0013187435573391304,420,18,1000,212.5,0.14485514485514486,True,True
9,primary,Rest,direction_agreement,0.7484276729559748,0.7423312883435583,0.006096384612416461,159,16,1000,49.0,0.06793206793206794,True,True
9,primary,Rest,score_spearman,0.47315274232745336,0.4642587211814317,0.008894021146021669,159,16,1000,49.0,0.07192807192807193,True,True
