response_row,target_gene,culture_condition,response_edges,matched_response_genes,unmatched_response_genes,matched_fraction
6905,LDB1,Stim8hr,2,2,0,1.0
6967,LIMD1,Stim8hr,1,0,1,0.0
7225,MAF,Stim48hr,137,70,67,0.5109489051094891
7226,MAFG,Rest,3,2,1,0.6666666666666666
7227,MAFG,Stim48hr,2,1,1,0.5
7228,MAFG,Stim8hr,1,0,1,0.0
7230,MAFK,Stim48hr,1,0,1,0.0
7249,MAL,Rest,1,0,1,0.0
7250,MAL,Stim48hr,1,0,1,0.0
7258,MAML1,Stim48hr,1,1,0,1.0
7430,MAX,Rest,89,50,39,0.5617977528089888
7431,MAX,Stim48hr,100,66,34,0.66
7432,MAX,Stim8hr,2222,1340,882,0.603060306030603
7512,MED1,Stim8hr,818,525,293,0.6418092909535452
7518,MED15,Rest,2806,1526,1280,0.5438346400570206
7519,MED15,Stim48hr,1340,781,559,0.5828358208955224
7520,MED15,Stim8hr,2050,1149,901,0.5604878048780488
7524,MED23,Rest,147,102,45,0.6938775510204082
7525,MED23,Stim48hr,366,225,141,0.6147540983606558
7526,MED23,Stim8hr,1011,626,385,0.619188921859545
7533,MEF2A,Rest,3,1,2,0.3333333333333333
7534,MEF2A,Stim48hr,6,5,1,0.8333333333333334
7536,MEF2D,Rest,5,4,1,0.8
7537,MEF2D,Stim48hr,34,20,14,0.5882352941176471
7538,MEF2D,Stim8hr,42,27,15,0.6428571428571429
7657,MIB2,Stim8hr,38,17,21,0.4473684210526316
7757,MLX,Rest,30,18,12,0.6
7758,MLX,Stim48hr,3,1,2,0.3333333333333333
7878,MRTFA,Rest,4,3,1,0.75
7879,MRTFA,Stim8hr,3,2,1,0.6666666666666666
7926,MTA1,Rest,4,2,2,0.5
7927,MTA1,Stim48hr,5,0,5,0.0
7928,MTA1,Stim8hr,5,2,3,0.4
8040,IRF4,Stim8hr,566,364,202,0.6431095406360424
8052,MXD1,Rest,3,2,1,0.6666666666666666
8053,MXD1,Stim48hr,1,1,0,1.0
8057,MXD4,Rest,1,1,0,1.0
8060,MXI1,Stim48hr,30,15,15,0.5
8063,MYB,Rest,1324,786,538,0.5936555891238671
8064,MYB,Stim48hr,1221,717,504,0.5872235872235873
8065,MYB,Stim8hr,1024,607,417,0.5927734375
8066,MYBL1,Rest,1,0,1,0.0
8067,MYC,Rest,38,20,18,0.5263157894736842
8068,MYC,Stim8hr,675,427,248,0.6325925925925926
8161,NAB2,Stim48hr,6,4,2,0.6666666666666666
8162,NAB2,Stim8hr,301,178,123,0.5913621262458472
8254,NCOA1,Rest,7,4,3,0.5714285714285714
8255,NCOA1,Stim48hr,12,8,4,0.6666666666666666
8256,NCOA1,Stim8hr,17,6,11,0.35294117647058826
8264,NCOA6,Rest,96,59,37,0.6145833333333334
