response_row,target_gene,culture_condition,inferred_tf,regulon_genes,weighted_mean_score,ulm_score,evidence_status,activity_inference_status
12208,SP3,Rest,EGR1,51,0.0,0.14936657359029615,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12209,SP3,Stim48hr,EGR1,51,-0.0008089218799974405,-1.6007506603194441,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12210,SP3,Stim8hr,EGR1,51,0.0,0.10466920636290535,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14321,USF1,Rest,EGR1,51,0.0,0.10972962855342776,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14322,USF1,Stim48hr,EGR1,51,0.0,0.056550279026279196,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14323,USF1,Stim8hr,EGR1,51,0.0,0.09132158801813318,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2465,CEBPB,Rest,HIF1A,52,0.0,0.041917927800510055,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2466,CEBPB,Stim48hr,HIF1A,52,0.0,0.13422970694209033,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2467,CEBPB,Stim8hr,HIF1A,52,0.0,0.08829916169416412,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3057,CREB1,Rest,HIF1A,52,-0.0008149496637857878,-1.1206822293958447,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3058,CREB1,Stim48hr,HIF1A,52,0.00030248757236852095,0.4365342748983748,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3059,CREB1,Stim8hr,HIF1A,52,-0.0004285736224399163,-0.4099655884289389,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5028,GATA3,Rest,HIF1A,52,0.002469376839983922,1.6165117377673262,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
