target_gene,culture_condition,secondary_factor,resource_type,matched_cases,observed_delta,null_mean,null_low,null_high,p_value,status,q_value,supported_enrichment
GATA3,Stim8hr,EGR1,motif,791,0.013147914032869785,0.00012541087231352692,-0.014197218710493047,0.01618204804045512,0.09090909090909091,estimable,1.0,False
GATA3,Stim8hr,EGR1,signed_curated,791,0.008596713021491783,0.0002528445006321113,-0.0050568900126422255,0.005562579013906448,0.004995004995004995,estimable,0.43956043956043955,False
GATA3,Stim8hr,HIF1A,motif,791,-0.0450063211125158,0.00013097345132743402,-0.022250316055625788,0.021744627054361566,0.001998001998001998,estimable,0.3516483516483516,False
GATA3,Stim8hr,HIF1A,signed_curated,791,0.003539823008849558,-0.00010568900126422264,-0.005562579013906448,0.006573957016434893,0.35364635364635366,estimable,1.0,False
GATA3,Stim8hr,SP3,motif,791,0.018710493046776234,-0.00017547408343868563,-0.019254108723135276,0.018710493046776234,0.06893106893106893,estimable,1.0,False
GATA3,Stim8hr,SP3,signed_curated,791,-0.0007585335018963339,-6.371681415929201e-05,-0.0037926675094816687,0.005309734513274336,1.0,estimable,1.0,False
GATA3,Stim8hr,USF1,motif,791,0.023261694058154238,0.0006573957016434895,-0.01769911504424779,0.02174462705436157,0.029970029970029972,estimable,0.7535321821036106,False
GATA3,Stim8hr,USF1,signed_curated,791,0.003286978508217446,1.6182048040454988e-05,-0.005815423514538559,0.006321112515802781,0.3166833166833167,estimable,1.0,False
HIF1A,Stim48hr,CEBPB,motif,82,0.02682926829268293,0.0014097560975609743,-0.04634146341463415,0.056097560975609764,0.4325674325674326,estimable,1.0,False
HIF1A,Stim48hr,CEBPB,signed_curated,82,-0.0024390243902439024,-0.00015609756097560964,-0.0024390243902439024,0.012195121951219513,1.0,estimable,1.0,False
HIF1A,Stim48hr,CREB1,motif,82,-0.04634146341463415,0.0001804878048780501,-0.07560975609756097,0.07073170731707318,0.2887112887112887,estimable,1.0,False
HIF1A,Stim48hr,CREB1,signed_curated,82,-0.0024390243902439024,-5.36585365853658e-05,-0.0024390243902439024,0.012195121951219513,1.0,estimable,1.0,False
HIF1A,Stim48hr,EGR1,motif,82,0.06829268292682927,0.00040487804878048736,-0.04878048780487805,0.05365853658536586,0.015984015984015984,estimable,0.7535321821036106,False
HIF1A,Stim48hr,EGR1,signed_curated,82,-0.004878048780487805,0.00017073170731707316,-0.004878048780487805,0.024390243902439025,1.0,estimable,1.0,False
