state	model	target	target_position	score	log_normalizer	true_probability	information_nats	inverse_temperature
Stim8hr	nearest_centroid	STX2	3481	-0.306346027343168	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	TMEM141	3665	-0.0	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	TSPYL1	3848	-1.423296465432573	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	VKORC1	4031	-0.0653353304410176	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	ZNF148	4214	-20.004919744607694	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	ZYX	4398	-0.0	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	RNA_fingerprint_cosine	AACS	0	-0.00024915895083281583	8.389306140025845	0.00022671933174100338	-0.0026652081854532383	10.0
Stim8hr	RNA_fingerprint_cosine	AP1S3	183	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	RNA_fingerprint_cosine	BATF3	366	0.06666358688119117	11.316404389860981	2.3706328478725438e-05	-2.26063599970035	10.0
Stim8hr	RNA_fingerprint_cosine	CCDC127	549	0.5078692349618729	9.669169988181817	0.010148010134630129	3.7986548827856303	10.0
Stim8hr	RNA_fingerprint_cosine	CKAP4	733	0.11613942513241397	8.899014487626777	0.00043610817556174515	0.6515122850460813	10.0
Stim8hr	RNA_fingerprint_cosine	DAPK3	916	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	RNA_fingerprint_cosine	EEF2K	1099	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	RNA_fingerprint_cosine	FDXR	1282	0.0002098412513395156	8.389892876906696	0.00022762876848216333	0.001338056955418665	10.0
Stim8hr	RNA_fingerprint_cosine	GPR15	1466	0.38726856201709997	8.450344531074572	0.010278932046246745	3.8114736104451463	10.0
Stim8hr	RNA_fingerprint_cosine	IFI44L	1649	-0.009614305808547979	10.313340983171578	3.0145224423301876e-05	-2.0203515199083384	10.0
Stim8hr	RNA_fingerprint_cosine	KMT5B	1832	0.5217209960075548	8.462221905975657	0.038968098845488575	5.144120575448611	10.0
Stim8hr	RNA_fingerprint_cosine	MARCHF8	2015	0.1461195787468635	8.885411481726646	0.0005966286324908961	0.9649168270907076	10.0
Stim8hr	RNA_fingerprint_cosine	MYO1C	2199	0.7505856021440952	9.45875308469184	0.14186249107741516	6.43623545809783	10.0
Stim8hr	RNA_fingerprint_cosine	NUDT16L1	2382	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	RNA_fingerprint_cosine	PHF3	2565	0.2480929939933507	8.502461037685201	0.002425952379806403	2.3676014235970246	10.0
Stim8hr	RNA_fingerprint_cosine	PRKCI	2748	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	RNA_fingerprint_cosine	RDH10	2932	-0.00010426597871731594	8.412991392437721	0.0002217335655079265	-0.02490153087617486	10.0
Stim8hr	RNA_fingerprint_cosine	SEC23IP	3115	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	RNA_fingerprint_cosine	SLC66A2	3298	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	RNA_fingerprint_cosine	STX2	3481	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	RNA_fingerprint_cosine	TMEM141	3665	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	RNA_fingerprint_cosine	TSPYL1	3848	0.0005380733504275417	8.39074264669285	0.00022818316113805035	0.0037706081601438513	10.0
Stim8hr	RNA_fingerprint_cosine	VKORC1	4031	0.8931193101245121	9.389271454045787	0.6324979162826534	7.931054168548053	10.0
Stim8hr	RNA_fingerprint_cosine	ZNF148	4214	0.5306413835648773	8.448778746179107	0.04318055889812385	5.246767610818385	10.0
Stim8hr	RNA_fingerprint_cosine	ZYX	4398	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Stim8hr	frozen_module_decoder	AACS	0	-0.15531335160691317	8.527828620983136	0.00012418121153376298	-0.6046361544551573	3.0
Stim8hr	frozen_module_decoder	AP1S3	183	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Stim8hr	frozen_module_decoder	BATF3	366	0.17248741166324333	8.634605383514998	0.00029837987094599424	0.2719893728234499	3.0
Stim8hr	frozen_module_decoder	CCDC127	549	0.17537900643466847	8.50920049582723	0.0003411925843795736	0.4060690448254949	3.0
Stim8hr	frozen_module_decoder	CKAP4	733	0.13997757968143176	8.6314945381908	0.00027149636720329043	0.17757072220221382	3.0
Stim8hr	frozen_module_decoder	DAPK3	916	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Stim8hr	frozen_module_decoder	EEF2K	1099	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Stim8hr	frozen_module_decoder	FDXR	1282	0.015423007331758722	8.547616032538574	0.00020319447947981487	-0.11221448919457977	3.0
