state	model	bin	targets	mean_confidence	fractional_accuracy	intercept	slope
Stim8hr	RNA_fingerprint_cosine	1	309	0.1461812508359283	0.14449838187702266	-0.5326890416261245	0.30722969183053195
Stim8hr	RNA_fingerprint_cosine	2	202	0.24118408272753755	0.16996699669966994	-0.5326890416261245	0.30722969183053195
Stim8hr	RNA_fingerprint_cosine	3	106	0.34009318750212647	0.29245283018867924	-0.5326890416261245	0.30722969183053195
Stim8hr	RNA_fingerprint_cosine	4	94	0.44459528588844655	0.20212765957446807	-0.5326890416261245	0.30722969183053195
Stim8hr	RNA_fingerprint_cosine	5	71	0.5493467323504806	0.30985915492957744	-0.5326890416261245	0.30722969183053195
Stim8hr	RNA_fingerprint_cosine	6	59	0.6446336846809484	0.3728813559322034	-0.5326890416261245	0.30722969183053195
Stim8hr	RNA_fingerprint_cosine	7	70	0.757089060430368	0.44285714285714284	-0.5326890416261245	0.30722969183053195
Stim8hr	RNA_fingerprint_cosine	8	126	0.8270545892272605	0.49206349206349204	-0.5326890416261245	0.30722969183053195
Stim8hr	RNA_fingerprint_cosine	9	0	NA	NA	-0.5326890416261245	0.30722969183053195
Stim8hr	frozen_module_decoder	0	4399	0.0016927201613802624	0.057575846756660394	10.982263237653711	2.2483079700943365
Stim8hr	frozen_module_decoder	1	0	NA	NA	10.982263237653711	2.2483079700943365
Stim8hr	frozen_module_decoder	2	0	NA	NA	10.982263237653711	2.2483079700943365
Stim8hr	frozen_module_decoder	3	0	NA	NA	10.982263237653711	2.2483079700943365
Stim8hr	frozen_module_decoder	4	0	NA	NA	10.982263237653711	2.2483079700943365
Stim8hr	frozen_module_decoder	5	0	NA	NA	10.982263237653711	2.2483079700943365
Stim8hr	frozen_module_decoder	6	0	NA	NA	10.982263237653711	2.2483079700943365
Stim8hr	frozen_module_decoder	7	0	NA	NA	10.982263237653711	2.2483079700943365
Stim8hr	frozen_module_decoder	8	0	NA	NA	10.982263237653711	2.2483079700943365
Stim8hr	frozen_module_decoder	9	0	NA	NA	10.982263237653711	2.2483079700943365
Stim48hr	nearest_centroid	0	4399	0.00022732439190725184	0.00022732439190725157	NA	NA
Stim48hr	nearest_centroid	1	0	NA	NA	NA	NA
Stim48hr	nearest_centroid	2	0	NA	NA	NA	NA
Stim48hr	nearest_centroid	3	0	NA	NA	NA	NA
Stim48hr	nearest_centroid	4	0	NA	NA	NA	NA
Stim48hr	nearest_centroid	5	0	NA	NA	NA	NA
Stim48hr	nearest_centroid	6	0	NA	NA	NA	NA
Stim48hr	nearest_centroid	7	0	NA	NA	NA	NA
Stim48hr	nearest_centroid	8	0	NA	NA	NA	NA
Stim48hr	nearest_centroid	9	0	NA	NA	NA	NA
Stim48hr	RNA_fingerprint_cosine	0	3384	0.009605626749867906	0.09346486037821836	-0.6179989467628084	0.30853945640266517
Stim48hr	RNA_fingerprint_cosine	1	320	0.1451030441834042	0.16682291666666665	-0.6179989467628084	0.30853945640266517
Stim48hr	RNA_fingerprint_cosine	2	156	0.24302622503170213	0.17094017094017092	-0.6179989467628084	0.30853945640266517
Stim48hr	RNA_fingerprint_cosine	3	110	0.3459649662900455	0.23636363636363636	-0.6179989467628084	0.30853945640266517
Stim48hr	RNA_fingerprint_cosine	4	86	0.453288177829246	0.29651162790697677	-0.6179989467628084	0.30853945640266517
Stim48hr	RNA_fingerprint_cosine	5	87	0.543777765280009	0.28735632183908044	-0.6179989467628084	0.30853945640266517
