cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease,culture_condition,significant,intersecting_gene_count,regulators,median_transfer_residual,median_abs_transfer_residual,amplified_fraction,buffered_fraction,median_log_response
91,coronary artery disease,downstream_Rest,0.8144333114306317,0.2879298982038774,1.872371015079536,0.7416129792517673,0.982027441190214,100,6.0,94.0,203.0,2590.0,"['RBL2', 'TXNDC17', 'TANK', 'UHRF1', 'DUT', 'PSMG1']",True,Rest,False,6,4,3.2393587174908536,3.2393587174908536,0.75,0.0,4.662726589538344
91,age-related macular degeneration,downstream_Rest,1.1653378752139971,0.0280597380746524,7.296733450479892,0.5865330745344579,0.982027441190214,100,1.0,99.0,24.0,2769.0,['KMT2E'],True,Rest,False,1,4,3.2393587174908536,3.2393587174908536,0.75,0.0,4.662726589538344
91,chronic kidney disease,downstream_Rest,0.616918302676674,0.0151307419075975,3.698210943192745,0.8042904364516557,0.982027441190214,100,1.0,99.0,45.0,2748.0,['RBL2'],True,Rest,False,1,4,3.2393587174908536,3.2393587174908536,0.75,0.0,4.662726589538344
90,age-related macular degeneration,downstream_Stim48hr,2.175303197123102,0.2472574667230525,8.865619589936516,0.2508865975712567,0.9903745571786824,100,2.0,98.0,27.0,2879.0,"['NLRC5', 'VEGFA']",True,Stim48hr,False,2,12,3.2345566255069436,3.2345566255069436,0.8333333333333334,0.0,4.973704369797028
90,chronic kidney disease,downstream_Stim48hr,1.077825557399584,0.1255053022552586,4.192417811766614,0.562146511895432,0.9903745571786824,100,2.0,98.0,54.0,2852.0,"['PDE4D', 'VEGFA']",True,Stim48hr,False,2,12,3.2345566255069436,3.2345566255069436,0.8333333333333334,0.0,4.973704369797028
90,coronary artery disease,downstream_Stim48hr,1.202227632361133,0.496743125929432,2.5183093551189457,0.3675503440621187,0.9903745571786824,100,8.0,92.0,196.0,2710.0,"['SETD1B', 'VAMP8', 'UHRF1', 'ANGPTL4', 'CXCL8', 'ADAR', 'IL23A', 'VEGFA']",True,Stim48hr,False,8,12,3.2345566255069436,3.2345566255069436,0.8333333333333334,0.0,4.973704369797028
2,chronic kidney disease,downstream_Stim8hr,2.201918972190352,0.5692773966135125,6.127130535823872,0.1242714709436386,0.9961846186563286,100,4.0,96.0,59.0,3119.0,"['PTPN22', 'NUDT5', 'ZBTB26', 'AP3S2']",True,Stim8hr,False,4,4,4.554798971600086,4.554798971600086,1.0,0.0,6.289093886978392
2,age-related macular degeneration,downstream_Stim8hr,0.8816257155068605,0.0215096979264015,5.350493293209569,0.6842340380968435,0.9961846186563286,100,1.0,99.0,36.0,3142.0,['PLA2G12A'],True,Stim8hr,False,1,4,4.554798971600086,4.554798971600086,1.0,0.0,6.289093886978392
85,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,5,3.363457352374282,3.363457352374282,1.0,0.0,5.3612921657094255
77,age-related macular degeneration,downstream_Stim48hr,3.4233376956710964,0.6521362528862658,11.464290916047144,0.0698820055450596,1.0,100,3.0,97.0,26.0,2880.0,"['KMT2E', 'HSPH1', 'NUDC']",True,Stim48hr,False,3,40,3.741219070020132,3.741219070020132,0.85,0.0,5.662357300098021
