cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease,culture_condition,significant,intersecting_gene_count,regulators,median_transfer_residual,median_abs_transfer_residual,amplified_fraction,buffered_fraction,median_log_response,probability_size_state,probability_transfer_augmented
88,asthma,downstream_Stim48hr,2.562212641518753,1.3740171559484748,4.510652362342404,0.0017766862159998,0.0095381631107485,100,16.0,84.0,201.0,2705.0,"['IL4', 'CD226', 'IL2', 'TNFSF11', 'RYBP', 'CXCR4', 'MYO3B', 'IL13', 'SESN1', 'FADS2', 'SYPL1', 'MAP4K4', 'IL5', 'PSMA4', 'SATB1', 'MYB']",False,Stim48hr,True,16,1,3.678162871831066,3.678162871831066,1.0,0.0,5.389071729816501,0.5713506997628589,0.6007731881850158
88,ulcerative colitis,downstream_Stim48hr,2.9102617602563035,1.4123816888176377,5.517837467886937,0.0022442736731173,0.0095381631107485,100,12.0,88.0,130.0,2776.0,"['STAT3', 'RYBP', 'PSMG1', 'PSAT1', 'CDKN1A', 'MYO3B', 'CD6', 'FADS2', 'IL2', 'SATB1', 'LITAF', 'APEH']",False,Stim48hr,True,12,1,3.678162871831066,3.678162871831066,1.0,0.0,5.389071729816501,0.5713506997628589,0.6007731881850158
26,ankylosing spondylitis,downstream_Stim48hr,3.3994424835474826,1.6435362405246468,6.476836071504819,0.0006775769737087,0.0115188085530485,100,12.0,88.0,112.0,2794.0,"['SMURF1', 'IL2RA', 'HBS1L', 'PHLDA1', 'FUT8', 'SOCS3', 'SELL', 'GSE1', 'CD6', 'PSMB9', 'UBE2E3', 'FKBP5']",False,Stim48hr,True,12,1,6.0446941807401044,6.0446941807401044,1.0,0.0,7.684783943522785,0.6584283630751905,0.44211530845255226
59,ankylosing spondylitis,downstream_Stim8hr,2.9054233770485274,1.3131025126803093,5.78504027891665,0.0047675252412819,0.0115782755859703,100,10.0,90.0,117.0,3061.0,"['IL10', 'IRF8', 'KIF7', 'FAS', 'RASGRP1', 'FOSL2', 'PRDM1', 'NPEPPS', 'CD28', 'BACH2']",False,Stim8hr,True,10,3,3.051114690952135,3.051114690952135,1.0,0.0,5.318119993844216,0.641367401233171,0.6596009838790905
35,ulcerative colitis,downstream_Stim48hr,3.214651941542658,1.602922550189504,5.984111379062428,0.0006857382451517,0.0116575501675805,100,13.0,87.0,129.0,2777.0,"['ATP10A', 'FKBP5', 'UST', 'RORC', 'TRABD2A', 'RIPK2', 'FADS2', 'DNMT3A', 'FADS1', 'PTPRK', 'IL23R', 'USP12', 'INPP5A']",False,Stim48hr,True,13,3,3.6271670473888094,3.6271670473888094,1.0,0.0,4.74493212836325,0.45918265493704524,0.4978436179811746
88,atopic eczema,downstream_Stim48hr,3.469619501640573,1.400936709106938,7.501872592291813,0.0041892141398603,0.0142433280755253,100,8.0,92.0,71.0,2835.0,"['IL4', 'IL22', 'RYBP', 'LEF1', 'IL13', 'IL2', 'SATB1', 'STAT3']",False,Stim48hr,True,8,1,3.678162871831066,3.678162871831066,1.0,0.0,5.389071729816501,0.5713506997628589,0.6007731881850158
46,ulcerative colitis,downstream_Stim8hr,3.147809161646805,1.4774017368492571,6.110902315605422,0.0018447130550445,0.015680060967879,100,11.0,89.0,120.0,3058.0,"['GALC', 'UBL3', 'KCTD20', 'FOXO1', 'TRABD2A', 'SP140L', 'FOSL2', 'JAK2', 'C8orf33', 'HECW2', 'INPP5A']",False,Stim8hr,True,11,4,4.612218165472134,4.612218165472134,0.75,0.0,6.511548792233841,0.5756803591261501,0.2094871131075544
8,ulcerative colitis,downstream_Stim48hr,2.9102617602563035,1.4123816888176377,5.517837467886937,0.0022442736731173,0.0190763262214971,100,12.0,88.0,130.0,2776.0,"['IL2RA', 'TNFAIP3', 'RYBP', 'PSMG1', 'TET2', 'PSAT1', 'CDKN1A', 'FOSL2', 'CTH', 'CD28', 'SATB1', 'STAT3']",False,Stim48hr,True,12,3,4.120603715890791,4.120603715890791,0.6666666666666666,0.0,6.139884552226255,0.4232389158999683,0.1930631251137877
38,multiple sclerosis,downstream_Rest,3.309029609007838,1.415841845967952,6.8759589431361166,0.0033808321903696,0.0191580490787611,100,9.0,91.0,81.0,2712.0,"['CTSH', 'PTGER4', 'VMP1', 'GNG2', 'LEF1', 'CD6', 'ETS1', 'CD28', 'SATB1']",False,Rest,True,9,1,3.1139254842307906,3.1139254842307906,1.0,0.0,4.812184355372417,0.049175651045664626,0.043355396336750174
38,rheumatoid arthritis,downstream_Stim8hr,2.440464642042791,1.311781450557172,4.284187882856995,0.002701913807296,0.0229662673620163,100,16.0,84.0,230.0,2948.0,"['PHLDA1', 'FKBP5', 'IL21R', 'SELL', 'NCK2', 'GSE1', 'LEF1', 'ZBTB21', 'PRDM1', 'NEK6', 'PDE4A', 'IL7R', 'ANXA11', 'NR3C1', 'FYN', 'RNF145']",False,Stim8hr,True,16,2,3.448720421512807,3.448720421512807,1.0,0.0,5.0682511118228,0.7434716016683625,0.6839595109731763
80,autoimmune disease,downstream_Stim48hr,1.9238899201539068,1.2101548436222511,3.003040426850167,0.0028146856049511,0.0239248276420849,100,32.0,68.0,571.0,2335.0,"['CTSH', 'ITGAM', 'FAS', 'PPP2R5C', 'CD6', 'CEP128', 'STAT1', 'PDK1', 'DOCK9', 'CD69', 'KLF3', 'CSF2', 'CLEC2D', 'TP53INP1', 'ACTN1', 'RIN3', 'LTA', 'FUT8', 'EDARADD', 'ZFP36L2', 'NFKBIZ', 'TMEM71', 'ARID5B', 'SYNE2', 'SEPTIN9', 'TBX21', 'CCR2', 'PXYLP1', 'MAPK1', 'HDAC7', 'PDIA3', 'SHISA2']",False,Stim48hr,True,32,1,3.3364532196898584,3.3364532196898584,1.0,0.0,4.672828834461906,0.5595619666334227,0.6897545772747808
80,Hashimoto's thyroiditis,downstream_Stim48hr,3.985340983757351,1.6009268516517652,8.679022432995437,0.0019402633384149,0.0239248276420849,100,8.0,92.0,62.0,2844.0,"['CD69', 'EDARADD', 'ZFP36L2', 'NFKBIZ', 'TMEM71', 'ARID5B', 'CEP128', 'TBX21']",False,Stim48hr,True,8,1,3.3364532196898584,3.3364532196898584,1.0,0.0,4.672828834461906,0.5595619666334227,0.6897545772747808
46,ankylosing spondylitis,downstream_Stim8hr,2.9054233770485274,1.3131025126803093,5.78504027891665,0.0047675252412819,0.0252758754865612,100,10.0,90.0,117.0,3061.0,"['GALC', 'FOXO1', 'HDAC4', 'NCK2', 'ARSB', 'FOSL2', 'SP140L', 'JAK2', 'ABTB3', 'CA11']",False,Stim8hr,True,10,4,4.612218165472134,4.612218165472134,0.75,0.0,6.511548792233841,0.5756803591261501,0.2094871131075544
46,autoimmune disease,downstream_Stim8hr,1.8334886579123972,1.1428656635483414,2.879561250575553,0.0059472648203673,0.0252758754865612,100,30.0,70.0,602.0,2576.0,"['CBLB', 'SEH1L', 'NCK2', 'RNASET2', 'KCTD20', 'ACTR2', 'UBL3', 'FOXO1', 'HDAC4', 'MLKL', 'WDR36', 'PSD3', 'ARPC2', 'GALC', 'ARHGAP15', 'TRABD2A', 'ARSB', 'FOSL2', 'ABTB3', 'CA11', 'C8orf33', 'HIVEP2', 'HECW2', 'INPP5A', 'MBD2', 'DENND3', 'SP140L', 'ATP2A2', 'JAK2', 'F5']",False,Stim8hr,True,30,4,4.612218165472134,4.612218165472134,0.75,0.0,6.511548792233841,0.5756803591261501,0.2094871131075544
8,asthma,downstream_Stim48hr,2.361312508864616,1.2428972415530395,4.21181781946053,0.0046700740255416,0.0264637528114025,100,15.0,85.0,202.0,2704.0,"['PFKFB3', 'EEF2', 'IL2RA', 'SATB1', 'TNFAIP3', 'RYBP', 'SOCS3', 'CXCR4', 'TET2', 'SEC61B', 'CD28', 'PGD', 'CLIC4', 'WARS1', 'IL2RB']",False,Stim48hr,True,15,3,4.120603715890791,4.120603715890791,0.6666666666666666,0.0,6.139884552226255,0.4232389158999683,0.1930631251137877
82,type 1 diabetes mellitus,downstream_Stim48hr,3.4346886780266748,1.5414911319548907,6.902562300660887,0.0016306626820754,0.0277212655952825,100,10.0,90.0,91.0,2815.0,"['CD44', 'ANXA1', 'IL2RA', 'SHC4', 'STAT4', 'CD6', 'PSMB9', 'GLUL', 'CCR2', 'GATA3']",False,Stim48hr,True,10,1,4.4854727914961785,4.4854727914961785,1.0,0.0,6.135564891081739,0.624221627823359,0.6179496506477872
38,ankylosing spondylitis,downstream_Rest,2.93484972002508,1.2603114271535183,6.068432045797279,0.0068375395907944,0.0290595432608765,100,9.0,91.0,91.0,2702.0,"['PTGER4', 'SELL', 'GSE1', 'CD6', 'ETS1', 'TPP2', 'CD28', 'FKBP5', 'SATB1']",False,Rest,True,9,1,3.1139254842307906,3.1139254842307906,1.0,0.0,4.812184355372417,0.049175651045664626,0.043355396336750174
59,rheumatoid arthritis,downstream_Stim8hr,2.066551382412129,1.0674090691225488,3.730516949922632,0.0158338134009803,0.0299083142018516,100,14.0,86.0,232.0,2946.0,"['IL10', 'IRF8', 'DPP4', 'KIF7', 'FAS', 'RASGRP1', 'FOSL2', 'REL', 'PRDM1', 'CTLA4', 'GPR174', 'NPEPPS', 'CD28', 'BACH2']",False,Stim8hr,True,14,3,3.051114690952135,3.051114690952135,1.0,0.0,5.318119993844216,0.641367401233171,0.6596009838790905
69,ulcerative colitis,downstream_Rest,4.153726071330966,1.531608917692791,9.690140979523424,0.0031313655853532,0.0303297432407603,44,7.0,37.0,124.0,2725.0,"['SOCS1', 'ACTA2', 'PTGIR', 'CDKN1A', 'GPR18', 'SATB1', 'NSUN6']",False,Rest,True,7,1,3.766017829917499,3.766017829917499,1.0,0.0,5.298317366548036,3.772383897809487e-09,9.466063835262877e-09
69,ankylosing spondylitis,downstream_Rest,4.622681743532321,1.558726573711662,11.393558293920284,0.0035682050871482,0.0303297432407603,44,6.0,38.0,94.0,2755.0,"['SOCS1', 'ACTA2', 'PHLDA1', 'GPR18', 'PSMB9', 'SATB1']",False,Rest,True,6,1,3.766017829917499,3.766017829917499,1.0,0.0,5.298317366548036,3.772383897809487e-09,9.466063835262877e-09
