condition,eigen_index,real,imaginary,magnitude,edge_threshold,raw_spectral_radius
Stim8hr,20,0.02519732029430163,0.0,0.02519732029430163,0.23503834116131309,1.8070711589293773
Stim8hr,21,0.0010919303695326068,0.0,0.0010919303695326068,0.23503834116131309,1.8070711589293773
Stim8hr,22,-0.025907010078121826,0.0,0.025907010078121826,0.23503834116131309,1.8070711589293773
Stim8hr,23,-0.06931493109903153,0.0,0.06931493109903153,0.23503834116131309,1.8070711589293773
Stim8hr,24,-0.09103271262735156,0.0,0.09103271262735156,0.23503834116131309,1.8070711589293773
Stim8hr,25,-0.14453395653901566,0.0,0.14453395653901566,0.23503834116131309,1.8070711589293773
Stim8hr,26,-0.16336271874118083,0.0,0.16336271874118083,0.23503834116131309,1.8070711589293773
Stim8hr,27,0.1612480950221219,0.0,0.1612480950221219,0.23503834116131309,1.8070711589293773
Stim8hr,28,-0.16124809502212203,0.0,0.16124809502212203,0.23503834116131309,1.8070711589293773
Stim8hr,29,1.837722231697696e-18,0.0,1.837722231697696e-18,0.23503834116131309,1.8070711589293773
Stim8hr,30,0.0,0.0,0.0,0.23503834116131309,1.8070711589293773
Stim48hr,1,0.849999999999999,0.0,0.849999999999999,0.3715341076398769,3.322334146977231
Stim48hr,2,0.5164310039965471,0.0,0.5164310039965471,0.3715341076398769,3.322334146977231
Stim48hr,3,0.31567932685287325,0.0,0.31567932685287325,0.3715341076398769,3.322334146977231
Stim48hr,4,-0.3173250968404776,0.0,0.3173250968404776,0.3715341076398769,3.322334146977231
Stim48hr,5,-0.2989447504554818,0.0,0.2989447504554818,0.3715341076398769,3.322334146977231
Stim48hr,6,0.13914738001835852,0.0,0.13914738001835852,0.3715341076398769,3.322334146977231
Stim48hr,7,0.11676101737951713,0.0,0.11676101737951713,0.3715341076398769,3.322334146977231
Stim48hr,8,0.3310841953888614,0.0,0.3310841953888614,0.3715341076398769,3.322334146977231
Stim48hr,9,0.07519649144792546,0.0,0.07519649144792546,0.3715341076398769,3.322334146977231
Stim48hr,10,0.22232258267669774,0.0,0.22232258267669774,0.3715341076398769,3.322334146977231
Stim48hr,11,-0.24040566866387814,0.0,0.24040566866387814,0.3715341076398769,3.322334146977231
Stim48hr,12,-0.06229049314020372,0.0,0.06229049314020372,0.3715341076398769,3.322334146977231
Stim48hr,13,-0.09772540994469614,0.0,0.09772540994469614,0.3715341076398769,3.322334146977231
Stim48hr,14,-0.07355788817540407,0.0,0.07355788817540407,0.3715341076398769,3.322334146977231
Stim48hr,15,-0.12894980549396165,0.0,0.12894980549396165,0.3715341076398769,3.322334146977231
Stim48hr,16,-0.22850090405006998,0.0,0.22850090405006998,0.3715341076398769,3.322334146977231
Stim48hr,17,-0.21054362969170073,0.0,0.21054362969170073,0.3715341076398769,3.322334146977231
Stim48hr,18,-0.15635003553916088,0.0,0.15635003553916088,0.3715341076398769,3.322334146977231
Stim48hr,19,-0.19862153770018312,0.0,0.19862153770018312,0.3715341076398769,3.322334146977231
Stim48hr,20,0.07871928808688057,0.0,0.07871928808688057,0.3715341076398769,3.322334146977231
Stim48hr,21,-0.22232258267669855,0.0,0.22232258267669855,0.3715341076398769,3.322334146977231
Stim48hr,22,-0.19390734990847558,0.0,0.19390734990847558,0.3715341076398769,3.322334146977231
Stim48hr,23,-0.16404040564560507,0.0,0.16404040564560507,0.3715341076398769,3.322334146977231
Stim48hr,24,-0.07871928808688057,0.0,0.07871928808688057,0.3715341076398769,3.322334146977231
Stim48hr,25,0.026863560165219943,0.0,0.026863560165219943,0.3715341076398769,3.322334146977231
Stim48hr,26,2.2593101852537907e-17,0.0,2.2593101852537907e-17,0.3715341076398769,3.322334146977231
Stim48hr,27,1.2809912364418463e-17,0.0,1.2809912364418463e-17,0.3715341076398769,3.322334146977231
Stim48hr,28,0.0,0.0,0.0,0.3715341076398769,3.322334146977231
Stim48hr,29,0.0,0.0,0.0,0.3715341076398769,3.322334146977231
Stim48hr,30,0.0,0.0,0.0,0.3715341076398769,3.322334146977231
