analysis,target,leave_one_target_coefficient,change
molecular_support_fraction:correlation_all,MXD4,0.00047132242660435746,-0.0013095107073401255
molecular_support_fraction:correlation_all,MXI1,0.0013781717329730755,-0.00040266140097140746
molecular_support_fraction:correlation_all,MYB,0.0011512653880647056,-0.0006295677458797774
molecular_support_fraction:correlation_all,MYBL1,0.002827237067832309,0.001046403933887826
molecular_support_fraction:correlation_all,NAB2,0.0017142481315029386,-6.658500244154444e-05
molecular_support_fraction:correlation_all,NCOA1,0.0008554908172119808,-0.0009253423167325022
molecular_support_fraction:correlation_all,NCOA6,0.002397425993489549,0.0006165928595450662
molecular_support_fraction:correlation_all,NF1,0.0016810080322411849,-9.982510170329813e-05
molecular_support_fraction:correlation_all,NFATC3,0.0017483488659491755,-3.248426799530753e-05
molecular_support_fraction:correlation_all,NFKB1,0.02381579891456176,0.022034965780617276
molecular_support_fraction:correlation_all,NFKB2,0.0014108644325040044,-0.00036996870144047865
molecular_support_fraction:correlation_all,NFKBIA,0.0019495049872885195,0.0001686718533440365
molecular_support_fraction:correlation_all,NFRKB,0.0024604331438637106,0.0006796000099192276
molecular_support_fraction:correlation_all,NONO,0.0012112659464483984,-0.0005695671874960846
molecular_support_fraction:correlation_all,NR1H2,-0.005345068953115154,-0.007125902087059637
molecular_support_fraction:correlation_all,NR2C2,0.0016448010359544664,-0.00013603209799001661
molecular_support_fraction:correlation_all,NR3C1,0.0014677569999879594,-0.00031307613395652363
molecular_support_fraction:correlation_all,NR4A3,0.0019347024850471812,0.00015386935110269818
molecular_support_fraction:correlation_all,PCBD1,-0.0003112652696344517,-0.0020920984035789347
molecular_support_fraction:correlation_all,PER2,0.0016252160235838038,-0.00015561711036067918
molecular_support_fraction:correlation_all,PHF8,0.0011582805648218172,-0.0006225525691226658
molecular_support_fraction:correlation_all,PIAS1,0.001129805094839266,-0.000651028039105217
molecular_support_fraction:correlation_all,PIAS2,0.0016866900637659,-9.414307017858309e-05
