target,culture_condition,molecular_support_fraction,molecular_any_fraction,evidence_response_edges
KLF16,Stim8hr,0.0,0.4594594594594595,37
KLF2,Rest,0.002028397565922921,0.6054766734279919,986
KLF6,Rest,0.0,0.5,6
KLF9,Rest,0.0,0.8,5
KLF9,Stim48hr,0.0,1.0,3
KLF9,Stim8hr,0.0,1.0,2
LCOR,Rest,0.0,0.2857142857142857,7
LCOR,Stim48hr,0.0,0.42857142857142855,14
LDB1,Rest,0.0,0.0,1
LDB1,Stim48hr,0.0,0.5,4
LDB1,Stim8hr,0.0,0.0,2
LIMD1,Stim8hr,0.0,1.0,1
MAF,Stim48hr,0.0,0.6423357664233577,137
MAFG,Rest,0.3333333333333333,0.6666666666666666,3
MAFG,Stim48hr,0.0,0.0,2
MAFG,Stim8hr,0.0,0.0,1
MAFK,Stim48hr,0.0,0.0,1
MAL,Rest,0.0,0.0,1
MAL,Stim48hr,0.0,0.0,1
MAML1,Stim48hr,0.0,0.0,1
MAX,Rest,0.0898876404494382,0.5955056179775281,89
MAX,Stim48hr,0.1,0.62,100
MAX,Stim8hr,0.07290729072907291,0.6471647164716472,2222
MED1,Stim8hr,0.0012224938875305623,0.6332518337408313,818
MED15,Rest,0.0,0.6154668567355667,2806
MED15,Stim48hr,0.0,0.6097014925373134,1340
MED15,Stim8hr,0.0,0.6117073170731707,2050
MED23,Rest,0.0,0.6122448979591837,147
MED23,Stim48hr,0.0,0.6830601092896175,366
MED23,Stim8hr,0.0,0.6429277942631059,1011
MEF2A,Rest,0.0,1.0,3
MEF2A,Stim48hr,0.3333333333333333,0.3333333333333333,6
MEF2D,Rest,0.0,0.4,5
MEF2D,Stim48hr,0.0,0.5882352941176471,34
MEF2D,Stim8hr,0.0,0.6428571428571429,42
MIB2,Stim8hr,0.05263157894736842,0.7105263157894737,38
MLX,Rest,0.0,0.6,30
MLX,Stim48hr,0.0,1.0,3
MRTFA,Rest,0.0,0.5,4
MRTFA,Stim8hr,0.0,0.6666666666666666,3
MTA1,Rest,0.0,0.5,4
MTA1,Stim48hr,0.0,0.4,5
MTA1,Stim8hr,0.2,0.4,5
MXD1,Rest,0.0,0.3333333333333333,3
MXD1,Stim48hr,0.0,1.0,1
MXD4,Rest,0.0,1.0,1
MXI1,Stim48hr,0.0,0.7666666666666667,30
MYB,Rest,0.04909365558912387,0.6170694864048338,1324
MYB,Stim48hr,0.04013104013104013,0.6224406224406225,1221
MYB,Stim8hr,0.060546875,0.6806640625,1024
MYBL1,Rest,0.0,0.0,1
MYC,Rest,0.10526315789473684,0.7368421052631579,38
MYC,Stim8hr,0.09777777777777778,0.6874074074074074,675
NAB2,Stim48hr,0.0,0.6666666666666666,6
NAB2,Stim8hr,0.0,0.5813953488372093,301
NCOA1,Rest,0.0,0.42857142857142855,7
NCOA1,Stim48hr,0.0,0.6666666666666666,12
NCOA1,Stim8hr,0.0,0.6470588235294118,17
NCOA6,Rest,0.0,0.5833333333333334,96
NCOA6,Stim48hr,0.0,0.5217391304347826,23
NCOA6,Stim8hr,0.0,0.7407407407407407,27
NF1,Rest,0.0,0.6363636363636364,11
NF1,Stim48hr,0.0,0.3333333333333333,3
NFAT5,Rest,0.0006161429451632779,0.6561922365988909,1623
NFAT5,Stim48hr,0.0,1.0,1
NFATC3,Stim48hr,0.0,1.0,1
NFE2L1,Rest,0.015625,0.65625,64
NFIX,Stim8hr,0.0,0.6923076923076923,39
NFKB1,Rest,0.2808988764044944,0.6966292134831461,89
NFKB1,Stim48hr,0.16129032258064516,0.5645161290322581,62
NFKB1,Stim8hr,0.17647058823529413,0.6666666666666666,204
NFKB2,Rest,0.0,0.6380090497737556,442
NFKB2,Stim48hr,0.004070556309362279,0.6065128900949797,737
NFKB2,Stim8hr,0.0014825796886582653,0.6130467012601928,1349
NFKBIA,Rest,0.0,0.5,4
NFKBIA,Stim48hr,0.0,1.0,3
NFKBIA,Stim8hr,0.0,0.6,5
NFRKB,Rest,0.0,0.5998675057966214,3019
NFRKB,Stim48hr,0.0,0.5899166335847559,2519
NFRKB,Stim8hr,0.0,0.5835351089588378,2891
NONO,Rest,0.0,0.6666666666666666,15
NONO,Stim48hr,0.0,0.5384615384615384,13
NONO,Stim8hr,0.0,0.6,55
NR1H2,Rest,0.3333333333333333,0.6666666666666666,3
NR1H2,Stim48hr,0.0,1.0,2
NR1H2,Stim8hr,0.0,0.5,2
NR2C2,Rest,0.0,0.6126760563380281,284
NR2C2,Stim48hr,0.0,0.5943396226415094,212
NR2C2,Stim8hr,0.003816793893129771,0.6068702290076335,262
NR3C1,Rest,0.0,1.0,2
NR3C1,Stim48hr,0.0,1.0,2
NR4A3,Stim48hr,0.0,0.6616161616161617,396
NR4A3,Stim8hr,0.0,0.7419354838709677,31
NSD2,Rest,0.0,0.6214689265536724,177
PA2G4,Rest,0.0,0.6666666666666666,51
PCBD1,Rest,0.0,0.5,4
PCBD1,Stim48hr,0.0,0.5,2
PCBD1,Stim8hr,0.0,1.0,2
PER1,Stim48hr,0.0,1.0,2
PER2,Rest,0.0,1.0,1
PER2,Stim8hr,0.0,0.0,1
PHF8,Rest,0.0,0.6,10
PHF8,Stim48hr,0.0,0.6687898089171974,314
PHF8,Stim8hr,0.0,0.6,55
PIAS1,Rest,0.0,0.6847826086956522,92
PIAS2,Rest,0.0,1.0,2
PIAS2,Stim48hr,0.0,0.0,1
PIR,Stim8hr,0.0,0.0,1
PKNOX1,Rest,0.0,0.6098901098901099,182
PKNOX1,Stim48hr,0.0,0.5620437956204379,274
PKNOX1,Stim8hr,0.0,0.5340909090909091,264
PML,Rest,0.0,0.0,1
POU2AF1,Stim48hr,0.0,0.0,2
POU2AF1,Stim8hr,0.0,0.0,2
POU2F2,Rest,1.0,1.0,1
