culture_condition,model,dose,relative_log1p_downstream,knots,breakpoint,hill_exponent,hill_half
Rest,null,0.4703295231439933,0.0,,,,
Rest,null,0.4793069888534171,0.0,,,,
Rest,null,0.4882844545628409,0.0,,,,
Rest,null,0.49726192027226485,0.0,,,,
Rest,null,0.5062393859816887,0.0,,,,
Rest,null,0.5152168516911124,0.0,,,,
Rest,null,0.5241943174005363,0.0,,,,
Rest,null,0.5331717831099603,0.0,,,,
Rest,null,0.542149248819384,0.0,,,,
Rest,null,0.5511267145288079,0.0,,,,
Rest,null,0.5601041802382318,0.0,,,,
Rest,null,0.5690816459476555,0.0,,,,
Rest,null,0.5780591116570795,0.0,,,,
Rest,null,0.5870365773665032,0.0,,,,
Rest,null,0.5960140430759271,0.0,,,,
Rest,null,0.604991508785351,0.0,,,,
Rest,null,0.6139689744947747,0.0,,,,
Rest,null,0.6229464402041986,0.0,,,,
Rest,null,0.6319239059136226,0.0,,,,
Rest,null,0.6409013716230463,0.0,,,,
Rest,null,0.6498788373324702,0.0,,,,
Rest,null,0.6588563030418941,0.0,,,,
Rest,null,0.6678337687513178,0.0,,,,
Rest,null,0.6768112344607418,0.0,,,,
Rest,null,0.6857887001701655,0.0,,,,
Rest,null,0.6947661658795894,0.0,,,,
Rest,null,0.7037436315890133,0.0,,,,
Rest,null,0.712721097298437,0.0,,,,
Rest,null,0.721698563007861,0.0,,,,
Rest,null,0.7306760287172849,0.0,,,,
Rest,null,0.7396534944267086,0.0,,,,
Rest,null,0.7486309601361325,0.0,,,,
Rest,null,0.7576084258455562,0.0,,,,
Rest,null,0.7665858915549801,0.0,,,,
Rest,null,0.7755633572644041,0.0,,,,
Rest,null,0.7845408229738278,0.0,,,,
Rest,null,0.7935182886832517,0.0,,,,
Rest,null,0.8024957543926756,0.0,,,,
Rest,null,0.8114732201020993,0.0,,,,
Rest,null,0.8204506858115233,0.0,,,,
Rest,null,0.8294281515209472,0.0,,,,
Rest,null,0.8384056172303709,0.0,,,,
Rest,null,0.8473830829397948,0.0,,,,
Rest,null,0.8563605486492185,0.0,,,,
