culture_condition,fold,model,rows,pairs,r2,rmse,mae,calibration_slope,calibration_intercept
Stim48hr,4,null,2026,1013,-0.11188405716770689,1.1617283115812713,0.7279916568616532,0.44441903313333947,0.637881389416573
Stim48hr,4,linear,2026,1013,-0.07469807542264162,1.1421366224661555,0.7237738078019733,0.4633873231729296,0.6161032509869061
Stim48hr,4,spline,2026,1013,-0.07092288679763481,1.1401288146246529,0.7193387331203505,0.4651249113945843,0.6141082668978829
Stim48hr,4,isotonic,2026,1013,-0.08875731405751952,1.1495830839385175,0.7197102292731525,0.4555044070745938,0.6251538948594255
Stim48hr,4,breakpoint,2026,1013,-0.07485303451246117,1.1422189609741487,0.72351362430556,0.46331307024745344,0.6161885032941229
Stim48hr,4,hill,2026,1013,-0.07032547137260248,1.1398107592503466,0.7193375640123482,0.4654400450615169,0.6137464512250952
Stim48hr,5,null,2026,1013,-0.36831726090773365,1.225208466709804,0.7622771335826262,0.31589600445552046,0.7610296631572165
Stim48hr,5,linear,2026,1013,-0.27494921024311325,1.1826684973315462,0.7301188242956236,0.36098274908410405,0.7108730344852302
Stim48hr,5,spline,2026,1013,-0.2728493398747771,1.1816941550083349,0.7262926437508513,0.36191387946408515,0.7098372009803139
Stim48hr,5,isotonic,2026,1013,-0.3326647772255762,1.2091412744764178,0.7496574562240977,0.3311556854002183,0.7440540718365035
Stim48hr,5,breakpoint,2026,1013,-0.27528404871168566,1.182823788580899,0.72996508239611,0.36084453533933153,0.7110267899965462
Stim48hr,5,hill,2026,1013,-0.26995505409594966,1.180349884740502,0.725775561785779,0.36326540346104036,0.7083337017187249
Stim8hr,1,null,2000,1000,-0.29107757628608133,1.3800186971697308,0.8520132833666431,0.35529102507472643,0.7794457090280871
Stim8hr,1,linear,2000,1000,-0.22478221959655076,1.3441206021526322,0.8218800216567536,0.386599156286318,0.7415945397723895
Stim8hr,1,spline,2000,1000,-0.21914531336796217,1.3410239620017508,0.8157222260954788,0.3892318164525362,0.7384116840193334
Stim8hr,1,isotonic,2000,1000,-0.2656726461698691,1.36637371360321,0.8391640079262402,0.3664020663688469,0.7660125883544678
Stim8hr,1,breakpoint,2000,1000,-0.2243610234711204,1.343889464297245,0.8214565187704862,0.3868331359252775,0.7413116610896348
Stim8hr,1,hill,2000,1000,-0.219255688495408,1.3410846653236181,0.8165555952121397,0.3891831897592635,0.7384704731302187
Stim8hr,2,null,2000,1000,-0.4031430207005269,1.2701324870143125,0.7778276225985377,0.30061627457126344,0.7822693661245133
Stim8hr,2,linear,2000,1000,-0.40781376213931964,1.2722447206220586,0.7781224277543471,0.305440855671215,0.7768730123609736
Stim8hr,2,spline,2000,1000,-0.40942974058877435,1.2729746930323125,0.777331754127988,0.305410139359795,0.7769073689360423
Stim8hr,2,isotonic,2000,1000,-0.3928171474243254,1.2654503394424852,0.7727618556701905,0.30538569671363947,0.7769347083387471
Stim8hr,2,breakpoint,2000,1000,-0.4082263939651054,1.2724311551542535,0.7781986343492618,0.3053878411312828,0.7769323097810316
Stim8hr,2,hill,2000,1000,-0.4060994416656598,1.2714698668711995,0.7763350183612051,0.30652500441432917,0.7756603785532019
Stim8hr,3,null,1998,999,-0.05210991441494439,1.288799685670731,0.8263340048555182,0.47390470412791225,0.6372131746168439
Stim8hr,3,linear,1998,999,-0.01191028380728043,1.2639382872477039,0.7989364764054724,0.4940312881506812,0.612835605381821
Stim8hr,3,spline,1998,999,-0.006569285659066448,1.260598256263597,0.7955528178355407,0.4967026669020448,0.6095999981674693
Stim8hr,3,isotonic,1998,999,-0.032089172362057994,1.2764784164756755,0.8137119937531052,0.4837935704346501,0.6252356565851857
Stim8hr,3,breakpoint,1998,999,-0.011537941826085474,1.2637057268154683,0.7981899794645488,0.49421636202877733,0.6126114415956677
Stim8hr,3,hill,1998,999,-0.007617779320267415,1.261254636943949,0.796691741119861,0.4961799933800303,0.6102330668469728
Stim8hr,4,null,1998,999,-0.23983896907062774,1.3030273842640758,0.8009426508131158,0.3802070042597166,0.7457144470570218
Stim8hr,4,linear,1998,999,-0.1751136177308239,1.2685594684831858,0.7777978947781665,0.4116525824441409,0.7078801667257667
Stim8hr,4,spline,1998,999,-0.17990600861290407,1.2711435790767396,0.7755766226323035,0.40957776062196244,0.7103765237651354
Stim8hr,4,isotonic,1998,999,-0.2130525308430007,1.2888747208372235,0.7879610637651387,0.3923369998092068,0.7311200373328716
Stim8hr,4,breakpoint,1998,999,-0.1775364109319144,1.2698665228237913,0.7768581245278045,0.41059077395756716,0.7091576996018839
Stim8hr,4,hill,1998,999,-0.17493723782239745,1.2684642620299218,0.7755495862528397,0.4118244072363095,0.7076734328149875
Stim8hr,5,null,1998,999,-0.055995560004511225,1.1811558940817506,0.7435178681994657,0.47181736887391623,0.6232098827535769
Stim8hr,5,linear,1998,999,-0.010504920029517528,1.1554346612631152,0.7204915937397475,0.4947119827469712,0.5961962159143334
Stim8hr,5,spline,1998,999,-0.006055929429453766,1.1528883161508419,0.7164256012431024,0.49695075289805396,0.5935546605106772
Stim8hr,5,isotonic,1998,999,-0.03675080764488281,1.1703435515129796,0.7321500994962722,0.481366322073263,0.611942942772804
Stim8hr,5,breakpoint,1998,999,-0.009975180068310774,1.1551317631081204,0.7200460184894076,0.4949769302034498,0.5958836008006271
Stim8hr,5,hill,1998,999,-0.007277379102077042,1.1535879630854746,0.7175454659583915,0.4963398649028404,0.5942754555793477
