prediction_model,selector,coverage,selected_targets,risk,ci_low,ci_high,status
frozen_cd4_transfer,applicability,0.8,392,1.474393217868786,1.3709449567157475,1.5774193043486016,developmental_only
frozen_cd4_transfer,predict_all,0.9,490,1.5089773358377536,1.4185912569952202,1.6101628377443504,developmental_only
frozen_cd4_transfer,random_abstention,0.9,441,1.5095105912058235,1.4772419360209588,1.5382319265644073,developmental_only
frozen_cd4_transfer,response_magnitude,0.9,441,1.5155942801707454,1.42032945469669,1.625803121708273,developmental_only
frozen_cd4_transfer,degree,0.9,441,1.4826848529552779,1.3807318548620495,1.5876088571038316,developmental_only
frozen_cd4_transfer,uncertainty_only,0.9,441,1.4771989434187862,1.3913801354786748,1.5735203640771607,developmental_only
frozen_cd4_transfer,reliability_only,0.9,441,1.4790762358299225,1.3835510782889056,1.5747942971934707,developmental_only
frozen_cd4_transfer,applicability,0.9,441,1.4977868552423734,1.3999522202020962,1.5992502453436648,developmental_only
frozen_cd4_transfer,predict_all,1.0,490,1.5089773358377536,1.4196785842561923,1.609503004920394,developmental_only
frozen_cd4_transfer,random_abstention,1.0,490,1.5089773358377536,1.5089773358377534,1.5089773358377536,developmental_only
frozen_cd4_transfer,response_magnitude,1.0,490,1.5089773358377536,1.4141529073787815,1.6017605275384732,developmental_only
frozen_cd4_transfer,degree,1.0,490,1.5089773358377536,1.412833017823565,1.6048191062729735,developmental_only
frozen_cd4_transfer,uncertainty_only,1.0,490,1.5089773358377536,1.4145159619870746,1.6158099896765277,developmental_only
frozen_cd4_transfer,reliability_only,1.0,490,1.5089773358377536,1.420617178347715,1.6059646277590014,developmental_only
frozen_cd4_transfer,applicability,1.0,490,1.5089773358377536,1.4169054045312879,1.60555595575854,developmental_only
without_vector,predict_all,0.2,490,1.4427612687059874,1.361278395600257,1.5272252757093174,developmental_only
without_vector,random_abstention,0.2,98,1.441182559491004,1.2737828020785,1.6057053710591,developmental_only
without_vector,response_magnitude,0.2,98,1.312941273956692,1.1418249644587786,1.4946131658885964,developmental_only
without_vector,degree,0.2,98,1.1251252425002627,0.9669491905674014,1.2791559192793998,developmental_only
without_vector,uncertainty_only,0.2,98,1.5526149741610586,1.3794300286112553,1.7197808490816293,developmental_only
without_vector,reliability_only,0.2,98,1.1852297006489456,1.0261684548872836,1.3597349990109255,developmental_only
without_vector,applicability,0.2,98,1.0473429195953468,0.8914955347160027,1.2136586047002267,developmental_only
without_vector,predict_all,0.3,490,1.4427612687059874,1.3651121291063224,1.5272152071055467,developmental_only
without_vector,random_abstention,0.3,147,1.4416984808917919,1.3166618696027272,1.5734623010867292,developmental_only
without_vector,response_magnitude,0.3,147,1.3440681286290288,1.19651376986672,1.5052569016393063,developmental_only
without_vector,degree,0.3,147,1.150987514958895,1.010307795616347,1.2887470974873516,developmental_only
without_vector,uncertainty_only,0.3,147,1.519003667973004,1.3711869930681109,1.6700991129640097,developmental_only
without_vector,reliability_only,0.3,147,1.2386256350197102,1.0872337359428546,1.3882989694005796,developmental_only
without_vector,applicability,0.3,147,1.1510862516888314,1.0131003071201594,1.2874907198823131,developmental_only
without_vector,predict_all,0.4,490,1.4427612687059874,1.3561671608092478,1.5266425114554203,developmental_only
without_vector,random_abstention,0.4,196,1.445574695637637,1.3432165273776913,1.5481854754632123,developmental_only
without_vector,response_magnitude,0.4,196,1.3481454876570351,1.2216917090525057,1.47167487621509,developmental_only
without_vector,degree,0.4,196,1.191017012525948,1.079104829769043,1.3099719317039191,developmental_only
without_vector,uncertainty_only,0.4,196,1.5120597185992686,1.3903029402402725,1.6384500395274777,developmental_only
without_vector,reliability_only,0.4,196,1.2841868555824356,1.1533654234524995,1.4208818721551508,developmental_only
without_vector,applicability,0.4,196,1.163588655074304,1.047739682954984,1.2857813021495268,developmental_only
without_vector,predict_all,0.5,490,1.4427612687059874,1.3608716300864987,1.526696359398279,developmental_only
without_vector,random_abstention,0.5,245,1.4433241966987134,1.3541734125862945,1.5268004841973348,developmental_only
without_vector,response_magnitude,0.5,245,1.4040627094550786,1.2911573346032454,1.524909527484186,developmental_only
without_vector,degree,0.5,245,1.2372883268846844,1.1263489293620284,1.3498830644255027,developmental_only
without_vector,uncertainty_only,0.5,245,1.4741784465450694,1.363330177329336,1.5932925156837394,developmental_only
without_vector,reliability_only,0.5,245,1.3143860038459645,1.2037616289235473,1.4356555285845878,developmental_only
without_vector,applicability,0.5,245,1.2550976250341856,1.144988735456354,1.369763396307671,developmental_only
without_vector,predict_all,0.6,490,1.4427612687059874,1.3569403454659326,1.525924930743222,developmental_only
without_vector,random_abstention,0.6,294,1.4441690047674154,1.3729314418725744,1.505277284101416,developmental_only
without_vector,response_magnitude,0.6,294,1.427758085547823,1.3253708303109748,1.5378270456884984,developmental_only
without_vector,degree,0.6,294,1.2466960670598088,1.1488812799382917,1.3451190894533067,developmental_only
without_vector,uncertainty_only,0.6,294,1.4603322082474066,1.3482155165956842,1.5651687221516597,developmental_only
without_vector,reliability_only,0.6,294,1.3687046415777284,1.2597321568834656,1.483160301991934,developmental_only
without_vector,applicability,0.6,294,1.2618469998696615,1.163275924387835,1.3643481607086787,developmental_only
without_vector,predict_all,0.7,490,1.4427612687059874,1.3674415787907008,1.5374669112899262,developmental_only
without_vector,random_abstention,0.7,343,1.443498834711517,1.3884951097691334,1.496099064309621,developmental_only
without_vector,response_magnitude,0.7,343,1.437614619531478,1.350778363375256,1.5325864961692788,developmental_only
without_vector,degree,0.7,343,1.3038684378867822,1.2109326246564263,1.4006624403252041,developmental_only
without_vector,uncertainty_only,0.7,343,1.4926503180381656,1.404475079963829,1.5953911478808986,developmental_only
without_vector,reliability_only,0.7,343,1.3467963895943753,1.247909802828744,1.4400379452744978,developmental_only
without_vector,applicability,0.7,343,1.3156279759702159,1.214030445477518,1.4189016874098397,developmental_only
without_vector,predict_all,0.8,490,1.4427612687059874,1.3604844330293395,1.5327225166063752,developmental_only
without_vector,random_abstention,0.8,392,1.443644526418982,1.4020023751171087,1.4831777851870005,developmental_only
without_vector,response_magnitude,0.8,392,1.454946463368064,1.3600120546836347,1.5426463037202616,developmental_only
without_vector,degree,0.8,392,1.346469829105301,1.2600542628126408,1.4374721785264515,developmental_only
without_vector,uncertainty_only,0.8,392,1.4956076770081554,1.405561177003629,1.589022373623481,developmental_only
without_vector,reliability_only,0.8,392,1.3676187507628812,1.283433355829615,1.456820971370755,developmental_only
without_vector,applicability,0.8,392,1.363566159092658,1.2631222671896594,1.4612628115107054,developmental_only
without_vector,predict_all,0.9,490,1.4427612687059874,1.3595970481723185,1.5231690266143787,developmental_only
without_vector,random_abstention,0.9,441,1.4430264600285492,1.4171459527958952,1.4686480988726152,developmental_only
without_vector,response_magnitude,0.9,441,1.4547630431455996,1.3694517850643055,1.5403648757216735,developmental_only
without_vector,degree,0.9,441,1.4092579552778162,1.3256106541380406,1.5023336100067084,developmental_only
