target_contrast_gene_name,logfc_pearson_r,logfc_pearson_pval,random_r1,random_r2,random_r3,comparison,condition,donor_correlation_mean,n_degs_MASH_K562,n_degs_MASH_Rest,n_degs_MASH_Stim48hr,n_degs_MASH_Stim8hr,random_mean,correlation_delta,cd4_response_genes,shared_response,private_or_inverted,confidence_tier,culture_condition,transfer_class,transfer_residual
ZNF184,0.0782112670065361,1.403185380081723e-09,0.0239164517588746,0.0074199860847604,-0.0006611314034468,K562 vs CD4+T (Rest),Rest,,4.0,7.0,7.0,7.0,0.010225102146729401,0.0679861648598067,7.0,True,False,moderate,Rest,intermediate,-0.4667168001387
DLGAP4,0.0783107129247414,1.3374161260135222e-09,-0.005115520063278,0.0025935613967989,-0.0067522088476772,K562 vs CD4+T (Stim 8hr),Stim8hr,,3.0,6.0,5.0,4.0,-0.0030913891713854336,0.08140210209612683,4.0,True,False,moderate,Stim8hr,intermediate,-1.3921001502326429
SNX27,0.0788400192572888,1.0348312607483791e-09,-0.0038078978401956,0.0161367257581994,-0.0063314383440866,K562 vs CD4+T (Stim 8hr),Stim8hr,,14.0,4.0,4.0,4.0,0.0019991298579724,0.0768408893993164,4.0,True,False,moderate,Stim8hr,intermediate,-1.2497503166120358
GADD45A,0.0788639650017313,1.022852104071397e-09,-0.0057450733309261,0.004579360218534,0.0010640929917163,K562 vs CD4+T (Rest),Rest,,10.0,13.0,9.0,15.0,-3.387337355859987e-05,0.07889783837528991,13.0,True,False,high,Rest,intermediate,-0.45738308683873086
GADD45A,0.0792497600088964,8.474987819919434e-10,0.0063028028671139,0.0070261411277272,-0.010849864207754,K562 vs CD4+T (Stim 8hr),Stim8hr,,10.0,13.0,9.0,15.0,0.0008263599290290335,0.07842340007986737,15.0,True,False,high,Stim8hr,intermediate,0.48282396754940127
ZNF771,0.0794469218504114,7.695749109353153e-10,-0.0643628453573318,-0.0039654673910803,-0.0032868539968699,K562 vs CD4+T (Rest),Rest,,3.0,9.0,10.0,10.0,-0.023871722248427336,0.10331864409883873,9.0,True,False,moderate,Rest,intermediate,-1.139953568105461
GSTO1,0.079505823506872,7.476828265967393e-10,-0.0117260719449544,-0.0116544248093371,-0.0249381816773133,K562 vs CD4+T (Rest),Rest,,17.0,16.0,16.0,16.0,-0.016106226143868266,0.09561204965074027,16.0,True,False,high,Rest,intermediate,0.16666697146146237
NF1,0.0796225761265359,7.060695419266815e-10,-0.0079360137913133,-0.0105291010520697,-0.0076799349462168,K562 vs CD4+T (Stim 48hr),Stim48hr,,12.0,4.0,5.0,6.0,-0.008715016596533266,0.08833759272306915,5.0,True,False,moderate,Stim48hr,intermediate,-0.3826520300394516
PPP1R12A,0.0797881657085746,6.508998232302076e-10,-0.0183681935219114,0.0178913366030105,-0.0101028300542403,K562 vs CD4+T (Stim 48hr),Stim48hr,,11.0,55.0,51.0,53.0,-0.0035265623243804,0.08331472803295499,51.0,True,False,high,Stim48hr,intermediate,1.7414611477097632
GPANK1,0.0799042851652107,6.147441621769966e-10,-0.0184228349207428,0.0051118991454864,-0.0038636249286416,K562 vs CD4+T (Rest),Rest,,10.0,8.0,8.0,6.0,-0.005724853567966,0.0856291387331767,8.0,True,False,moderate,Rest,intermediate,-0.48089467324693824
